,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2014-11-30,-1.3885528315600384e-24,-1.3885528315600384e-24,-1.3885528315600384e-24,-0.2000000000099813,0.19999999998578316,-0.20000000001626703,-0.2000000000164326,-3.932876934513537e-12,-0.19999999996760306
2014-12-31,1.0599654191971791e-25,1.0599654191971791e-25,1.0599654191971791e-25,-0.2000000000025409,6.524323798316067e-12,-0.1999999999976544,-0.20000000000006843,-0.19999999999704784,-0.19999999999616414
2015-01-31,1.7949040952985044e-25,1.7949040952985044e-25,1.7949040952985044e-25,-0.20000000001131604,5.960307725506987e-11,-0.20000000001180937,-0.2000000000123546,-0.1999999999146518,-0.1999999999902651
2015-02-28,5.13294502330806e-25,5.13294502330806e-25,5.13294502330806e-25,-0.20000000004977125,0.1999999986895643,-0.19999999997171783,-1.2592283163157907e-09,-0.20000000000711138,-0.20000000002260715
2015-03-31,9.44846627546004e-26,9.44846627546004e-26,9.44846627546004e-26,-0.20000000000278756,1.1798197166996013e-11,-0.1999999999976596,-0.1999999999868223,-0.19999999999961304,-0.20000000000131915
2015-04-30,6.110944186382597e-25,6.110944186382597e-25,6.110944186382597e-25,-0.20000000000656873,1.2203918891973007e-10,0.2000000000014576,0.20000000001602775,-0.19999999998797247,-0.1999999998659342
2015-05-31,-2.7505842202762913e-26,-2.7505842202762913e-26,-2.7505842202762913e-26,-0.20000000000379747,0.19999999999505877,-1.8403468827322805e-12,-0.19999999999725754,-0.20000000000220686,-0.199999999999839
2015-06-30,6.869766154173687e-26,6.869766154173687e-26,6.869766154173687e-26,-0.20000000000516158,0.1999999999852483,-7.612476604315984e-12,-0.19999999998647774,-0.2000000000086394,-0.20000000000686055
2015-07-31,-6.950331018379496e-26,-6.950331018379496e-26,-6.950331018379496e-26,-0.2000000000024146,-0.19999999999573503,6.788460363919578e-13,-0.1999999999993881,-0.2000000000003112,-0.2000000000014724
2015-08-31,-3.1629412906957533e-24,-3.1629412906957533e-24,-3.1629412906957533e-24,-0.2000000000106686,2.5144599118499664e-11,-0.1999999999818538,-0.20000000001522614,-0.19999999997577778,-0.19999999999132895
2015-09-30,-6.313180614264845e-25,-6.313180614264845e-25,-6.313180614264845e-25,-0.20000000000558682,-4.833764865074939e-12,-0.20000000000550935,0.19999999997509024,-0.20000000000552315,-0.20000000000345677
2015-10-31,7.235010787262409e-25,7.235010787262409e-25,7.235010787262409e-25,-0.20000000001389262,-4.256068723733739e-12,-0.19999999998497248,0.1999999999857164,-0.200000000018673,-0.19999999999248957
2015-11-30,-3.5974347535043746e-25,-3.5974347535043746e-25,-3.5974347535043746e-25,-0.20000000001791457,-0.2000000000029131,0.1999999999004034,5.0976364954079013e-11,-0.20000000001907084,-0.20000000000872162
2015-12-31,-1.145687353585939e-25,-5.674205400322046e-12,-1.145687353585939e-25,-0.20000000000320486,-4.012575638285008e-12,0.19999999999308332,0.19999999999697743,-0.19999999999630125,-0.20000000000074644
2016-01-31,2.0216970219227385e-24,-0.19999999992250242,2.0216970219227385e-24,-0.20000000002693089,-1.500584786537699e-11,0.19999999931492504,6.998243537463589e-10,-0.20000000000326063,-0.20000000001755075
2016-02-29,-3.328969262885589e-24,-0.19999999999899873,-3.328969262885589e-24,-0.20000000001140197,8.271511744411753e-12,0.19999999993981799,2.353535651673685e-11,-0.20000000000896373,-0.20000000000901078
2016-03-31,6.944240677185369e-25,-2.530540332704793e-10,6.944240677185369e-25,-0.20000000001209592,-0.19999999979185018,0.19999999989590775,3.5710777114725235e-11,-0.2000000000032556,-0.20000000000812582
2016-04-30,1.5086401180860953e-24,-0.19999999996748935,1.5086401180860953e-24,-0.20000000001154894,-9.038761174131645e-12,0.19999999995136555,3.849089826100454e-11,-0.2000000000107333,-0.20000000001133322
2016-05-31,-2.638800440011692e-26,-0.1999999999875684,-2.638800440011692e-26,-0.20000000000155124,-0.19999999991425405,0.19999999998232126,8.634895269011319e-12,-1.0414161725901328e-10,-0.2000000000015287
2016-06-30,7.225390621543059e-25,-0.1999999999383212,7.225390621543059e-25,-0.20000000000958876,1.9374880483312558e-11,0.19999999997741874,1.9837437665295037e-11,0.2000000000284745,-0.20000000000698442
2016-07-31,6.366225131630916e-25,-0.19999999998002485,6.366225131630916e-25,-0.20000000000570062,1.1299940033693062e-11,0.1999999999833399,1.0888729163323038e-11,0.20000000000272095,-0.2000000000060252
2016-08-31,1.1498329382740533e-25,-0.1999999999923269,1.1498329382740533e-25,-0.20000000000366502,4.228203362383846e-12,0.19999999998715204,5.574954556908954e-12,-0.20000000000375817,-0.20000000000329485
2016-09-30,-3.0525732083814896e-23,-0.19999999997626114,-3.0525732083814896e-23,-0.2000000000074519,1.4855289589658064e-11,0.1999999999820825,6.1600346870105375e-12,-0.20000000000657683,-0.20000000000661242
2016-10-31,-1.4368770624305186e-24,-0.19999999997697543,-1.4368770624305186e-24,-0.20000000001116994,8.313899704338503e-12,0.1999999999833364,4.109292446254718e-12,-0.20000000000804882,-0.2000000000080462
2016-11-30,-6.538029098377175e-25,-1.754511370254775e-11,-6.538029098377175e-25,-0.20000000000377194,-0.1999999999967105,0.19999999997133033,3.832793031986988e-13,-0.20000000000487483,-0.20000000000538407
2016-12-31,-1.4672390012022726e-23,-1.9704980181857986e-10,-1.4672390012022726e-23,-0.19999999998046097,-0.19999999999099766,0.1999999998535478,-2.7778905166769664e-14,-0.19999999997397344,-0.20000000000394255
2017-01-31,7.605719726424466e-27,-0.1999999999802991,7.605719726424466e-27,-0.20000000000393567,-6.922050344760382e-12,0.20000000000024928,-8.372391824123051e-13,-0.20000000000380452,-0.20000000000395216
2017-02-28,-1.3877311558046719e-24,-0.19999999999266682,-1.3877311558046719e-24,-0.20000000000200083,6.644533345103732e-13,0.1999999999983753,1.1885226957835892e-12,-0.20000000000273396,-0.20000000000237025
2017-03-31,2.559495840785615e-24,-0.1999999999196225,2.559495840785615e-24,-0.2000000000158433,1.8409799398878215e-11,0.19999999998220908,1.9510399702827178e-11,-0.20000000002192006,-0.20000000002248478
2017-04-30,-1.365524975311287e-23,-0.19999999991932402,-1.365524975311287e-23,-0.2000000000148579,2.4347043629137942e-11,0.19999999998153062,2.1140553311256788e-11,-0.20000000001886628,-0.20000000001993362
2017-05-31,-1.6285677841345983e-23,-0.19999999994067794,-1.6285677841345983e-23,-0.20000000000701354,3.7565945881489406e-11,0.1999999999398622,4.343482811330785e-11,-0.2000000000161812,-0.2000000000152643
2017-06-30,1.145839055782879e-25,-2.1829208058165865e-12,1.145839055782879e-25,-0.20000000000132429,-0.19999999999583748,0.19999999999780832,7.809095951361057e-13,-0.20000000000103269,-0.20000000000103338
2017-07-31,3.2657822502965556e-24,-1.010895687990704e-10,3.2657822502965556e-24,-0.20000000005718505,-0.1999999685376165,0.20000000001704726,3.1035533201273684e-08,-0.20000000013135466,-0.20000000012017366
2017-08-31,-1.1833536517567746e-23,-3.25918050635255e-11,-1.1833536517567746e-23,-0.20000000005271165,-1.2989346338947093e-10,0.19999999994724282,0.19999999973866067,-0.20000000004674495,-0.2000000000521548
2017-09-30,3.531218045083708e-25,-9.218544919360188e-11,3.531218045083708e-25,-0.19999999995087783,-2.1515020621824225e-10,0.19999999983609662,0.1999999998948536,-0.20000000000703522,-0.2000000000038011
2017-10-31,-1.4190951735271285e-25,-6.103848057740764e-12,-1.4190951735271285e-25,-0.19999999998182402,-1.8093124354356348e-11,0.1999999999884925,0.19999999998124737,-0.20000000001023038,-0.20000000001400894
2017-11-30,-4.887534374644561e-25,-6.889918111381213e-12,-4.887534374644561e-25,-0.19999999998828621,-1.2959983622892828e-11,0.1999999999854697,0.19999999998630646,-0.20000000000760176,-0.20000000001248605
2017-12-31,-2.9857014276493804e-26,-7.031953678652261e-13,-2.9857014276493804e-26,-0.19999999999851076,-1.8170104256828479e-12,0.19999999999898077,0.1999999999961828,0.1999999999999372,-0.20000000000386828
2018-01-31,1.3229938527399958e-25,1.47669144298216e-13,1.3229938527399958e-25,-0.19999999999483029,3.6137595249796354e-14,0.199999999997395,0.1999999999987471,0.20000000000657525,-0.20000000000226864
2018-02-28,2.545670558890021e-24,-7.639626165323876e-12,2.545670558890021e-24,-0.19999999996918294,-8.317230712972818e-12,0.19999999997879725,0.19999999998808318,-0.20000000002804216,-0.20000000001993778
2018-03-31,-7.343788144925465e-25,-1.9859606142363947e-11,-7.343788144925465e-25,-0.19999999996548837,-8.867063893141066e-12,0.1999999999875463,0.20000000000259935,-0.20000000000932724,-0.20000000000631207
2018-04-30,-1.948775662839075e-24,-1.55856528113323e-11,-1.948775662839075e-24,-0.19999999996838586,-1.5765971953735403e-11,0.19999999999558574,0.1999999999873316,-0.20000000001259327,-0.20000000000475207
2018-05-31,-2.358466589524933e-24,-1.2542686693614086e-10,-2.358466589524933e-24,-0.19999999993003523,-1.46494256476827e-10,0.19999999996993106,0.19999999981728306,-0.20000000001149282,-0.1999999999993368
2018-06-30,-1.171941968167683e-24,-1.5862027851270795e-11,-1.171941968167683e-24,-0.20000000001998425,-2.2116007818083925e-11,0.19999999999886725,0.19999999992864956,-0.20000000001895188,-0.19999999999556897
2018-07-31,-2.2879338582447737e-23,-2.696199139624286e-10,-2.2879338582447737e-23,-0.20000000017548825,-1.4975758480766738e-10,0.19999999999509568,0.19999999910679142,0.20000000023934553,-0.20000000006390162
2018-08-31,1.5170239462774547e-24,-2.0806129219447383e-10,1.5170239462774547e-24,-0.19999999989052122,-2.6014129734450554e-10,0.19999999993646997,0.19999999966587745,-0.20000000004423965,-0.19999999999468912
2018-09-30,-1.1150042988549037e-24,-4.911415195573721e-12,0.20000000000821463,-6.0465901133942784e-12,-0.20000000000122883,0.19999999997641718,4.228596546530242e-12,-0.20000000000445398,-0.19999999999449872
