,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2019-08-31,7.584075279126791e-26,5.359488372425795e-13,0.2000000000075104,3.4338749537927265e-13,-7.739768553443343e-14,1.0782413761965843e-11,8.291862874258126e-13,8.705586686836185e-13,8.362422981280859e-13,5.423059676452048e-13,2.2549800779026436e-12,2.4853439316005683e-12,1.1150218875250882e-12,1.3333963028713893e-12,8.921386678979451e-13,1.0066769167300071e-12,7.357494516706368e-13,3.803584971930788e-13,0.19999999953144423,2.2605296558065624e-12,1.0598880064727037e-11,4.19639451413343e-12,0.19999999974327587,0.19999999998083245,0.1999999999991701,8.205324985763437e-12,7.108245467005902e-12,3.359849626076673e-11,6.657875877301779e-12,-1.4614038246740957e-12,3.983886188749338e-11,-2.7640756276247515e-12,1.4458623198285328e-12,8.236669630092802e-12,6.1663673990992195e-12,5.802068104308149e-10
2019-09-30,-4.723492353349391e-25,3.217306289798265e-12,0.20000000003990787,2.2392779747728878e-12,-6.231112306232954e-14,4.5021199185030025e-11,4.879464610158396e-12,1.0582105507308502e-11,4.939695293846657e-12,3.2652990793376367e-12,1.2330898244139835e-11,1.4186154795544647e-11,6.729472133033919e-12,7.6269497058941e-12,5.430411913963423e-12,5.861324578666809e-12,4.460901753111168e-12,1.4805261076841205e-12,3.1017935159661035e-09,1.2888785991374812e-11,4.677391237686771e-11,2.374196239331905e-11,0.19999999628098392,0.19999999955963793,0.19999999999339743,3.8420552336207143e-11,3.633763583427957e-11,3.913582576587156e-10,2.6003981330914232e-11,-7.688278867783772e-12,9.130357956722984e-11,-1.5262147838329966e-11,8.330233776197341e-12,0.20000000003300653,3.300242823689538e-11,1.2784804860162644e-10
2019-10-31,8.208715066334349e-26,1.2044935501979307e-12,0.20000000001053164,1.0919895586627397e-12,-5.279036291603071e-13,1.25526602671593e-11,1.571697618629959e-12,3.490538576435737e-12,1.6647247260034875e-12,1.0904745934851478e-12,3.63997894302713e-12,4.1692748600018124e-12,2.0280839311347473e-12,2.33359940309323e-12,1.6962020036267279e-12,1.822994735259317e-12,1.4184523122308585e-12,5.406240118539538e-13,1.8654043421562126e-11,4.167156633600623e-12,1.3918731610821983e-11,6.7556077982515095e-12,1.004802721914188e-10,0.19999999995305934,0.20000000000297205,1.1593706811641093e-11,1.0321860131899694e-11,0.1999999997117676,6.126734219430107e-12,-1.8729239760107185e-12,0.20000000000412146,1.0352620060171067e-11,2.5605806022265977e-12,3.182441114919464e-11,9.59615384389592e-12,4.847962151049739e-11
2019-11-30,6.262066257080799e-26,1.1353284714980964e-12,0.2000000000149545,1.0666690600608453e-12,-4.99296206389632e-13,7.865040820319139e-12,1.4117454609241478e-12,2.812509623313563e-12,1.5233602121934203e-12,9.867739396410386e-13,2.9053690209342397e-12,3.2785239145841873e-12,1.7293399169724221e-12,2.045166228633668e-12,1.5415274203315212e-12,1.6299843485794718e-12,1.3147628417719837e-12,3.5150079557252594e-13,9.588499099256725e-12,3.3995277756412925e-12,7.195610721070283e-12,4.617666299156164e-12,1.7059754324117847e-11,0.19999999997794293,0.19999999998183646,7.021560023835744e-12,6.057135647415014e-12,0.19999999998245968,4.0449086419444455e-12,-2.4195199434743505e-12,7.536850823779557e-12,-5.713101558808561e-12,2.2110910105811096e-12,0.19999999988394287,5.802222430964352e-12,4.4099208406507995e-11
2019-12-31,1.4468096130014546e-25,3.8945049145655916e-12,0.200000000026748,2.7031165667057178e-12,-1.9704459624116734e-13,2.2157130576123524e-11,3.8620522559298144e-12,7.606616801702902e-12,3.7537697940558025e-12,2.5268942118162815e-12,7.729588091124024e-12,8.87444388519727e-12,4.5142510169336245e-12,5.261183326498322e-12,4.1737071243480455e-12,4.148039231018528e-12,3.3580975322109116e-12,1.1911076037354828e-12,1.2555126575976545e-11,9.779255788361048e-12,1.9804975062488356e-11,1.2541038591310395e-11,4.470716467303187e-11,5.581854959704434e-10,0.19999999998206777,1.9779796391626845e-11,1.66023513236867e-11,0.19999999999629575,1.3146284894152874e-11,-6.748096884765775e-12,-3.6419636677248715e-12,-0.2000000000204755,5.8285440294232825e-12,1.6935940515715486e-11,2.0874372238883584e-11,0.19999999912733094
2020-01-31,1.2649819851330442e-26,1.4848326525316993e-12,0.20000000002178675,9.164911617718595e-13,-9.582923066246222e-13,8.44632290111245e-12,2.3296269664820676e-12,4.058987005076258e-12,2.0682798003841713e-12,1.409518409442495e-12,4.32613556897024e-12,4.572192639657094e-12,2.4919689045911962e-12,2.844729745027294e-12,2.225032091035058e-12,2.28239224663604e-12,1.7906922929786836e-12,9.989291873409887e-13,3.19816884928103e-10,4.901847071315886e-12,8.351960397774343e-12,6.135582402912854e-12,1.7630526908232087e-11,0.19999999983234126,0.1999999999918582,8.676264538614634e-12,7.677740096131913e-12,0.20000000000153786,7.2314286860628295e-12,-5.243282612482231e-12,9.805890119821624e-12,-6.662718289586459e-12,3.1762556522239134e-12,7.393441293042226e-12,7.365919390779113e-12,0.19999999968920185
2020-02-29,2.8834050477119006e-25,7.807196541320197e-13,0.200000000014856,1.0485400658412163e-12,-1.4964572243855965e-12,1.3473348490174505e-11,1.5043157680105764e-12,3.7876106660782854e-12,1.525441610608809e-12,1.0773875535540676e-12,4.032188877489359e-12,4.261969489394314e-12,2.0560035154931075e-12,2.3159061574307648e-12,1.5549918797628532e-12,1.8021260404762452e-12,1.2779421847260047e-12,8.758270287718274e-13,0.19999999999327062,4.439627599045588e-12,1.3147983098039582e-11,6.309466315297973e-12,3.580430172509251e-10,0.19999999998456514,0.20000000000232157,1.1976820036935997e-11,1.0303081876204096e-11,1.5170550460405632e-11,7.111135840392317e-11,-8.988941202108195e-12,6.823501385668284e-13,-1.8826491579257792e-11,2.629444780685908e-12,1.0033746217110841e-11,8.970756843055609e-12,0.19999999942148233
2020-03-31,-2.496112976816809e-25,0.20000000000153964,0.20000000000979715,-2.648710493416934e-13,-1.473581244615726e-12,1.9299581622981087e-12,2.2621081322662793e-13,9.128530687723125e-13,2.4504655544911886e-13,5.064497508760088e-14,1.0413908760642767e-12,9.422987697974138e-13,3.127108395864406e-13,4.900868841491481e-13,1.136972774025536e-13,3.475460780671738e-13,1.6843232459309981e-13,3.0630182162933343e-13,1.1378845305237693e-12,7.541367602036078e-13,1.4727595896315855e-12,1.1083457145954355e-12,8.696059588920744e-12,0.1999999999658271,0.1999999999821092,1.6176316485722012e-12,1.464457306600514e-12,2.899037560366421e-12,1.6428686569909608e-12,-3.246376086446583e-12,-0.1999999999931473,-1.377435242018186e-12,5.97723538677997e-13,1.3954833321262994e-12,1.4470635538761644e-12,9.896739194136563e-12
2020-04-30,-1.9132431314031561e-25,0.20000000000597942,0.20000000000929302,1.309284843520089e-13,-1.836615206937337e-12,1.9754109034769964e-12,3.3589065547210683e-13,1.0559176408592662e-12,3.687272342369121e-13,6.849269136316183e-14,1.1030684320968661e-12,1.088041127308479e-12,3.646245125373703e-13,5.176521420773749e-13,5.064258363723487e-13,4.0508237060397457e-13,2.3164239339996687e-13,4.186503466925772e-13,2.10067185667881e-12,9.654658645754355e-13,1.7322052581930596e-12,0.19999999999214185,2.5746453980778487e-12,3.4906070888978195e-12,7.615939799334372e-12,1.9219383162550793e-12,1.7502953528095675e-12,2.1869560722899442e-12,2.0122916716524557e-12,-1.6567606183551433e-12,1.637451272281697e-12,-0.200000000006791,6.556228107603455e-13,0.19999999994063117,1.656244172129036e-12,2.7994589166379775e-12
2020-05-31,-3.1346439078526802e-27,1.4139456997772867e-13,0.20000000000087598,0.20000000000064017,-1.6735943166634625e-13,1.008636316856533e-12,1.0663490180859705e-13,2.700674903522454e-13,9.55529859875447e-14,2.7350033391621068e-14,2.395611182810714e-13,2.574355053714626e-13,7.994296047260403e-14,1.139037054001959e-13,1.1165466756870078e-13,9.53576459802141e-14,6.332506646418292e-14,8.742296138122906e-14,1.6077034357630145e-12,2.261361974833856e-13,4.549252793540346e-13,3.731317362482681e-13,1.1179168593773766e-12,1.2742474146875103e-12,0.19999999998475249,5.849781269124715e-13,4.643857870435518e-13,7.051595301584632e-13,7.810724905269063e-13,-6.163533158854083e-13,5.658987401446775e-13,-0.20000000000087598,1.428832899549582e-13,4.567661796174728e-13,0.19999999999928325,1.3350943710679156e-12
2020-06-30,1.9896990507468034e-26,0.20000000000517176,0.20000000000668347,0.20000000000386017,-7.190725549801614e-13,2.2383084166376373e-11,9.972198727860163e-13,1.4261492841055694e-12,8.392934509373912e-13,2.615401884844412e-13,1.275725344568717e-12,1.4458021870889347e-12,4.991448798908185e-13,7.122926171449295e-13,5.061585821857079e-12,6.022603858708536e-13,4.638820660329793e-13,5.283142445641321e-13,5.336520968060105e-12,1.2405373576623992e-12,2.0734207628444564e-12,1.488173944487168e-12,3.504959064239108e-12,7.747026990002346e-12,4.894050675043213e-10,2.3004388460390307e-12,2.0422864606356772e-12,2.6273504324966817e-12,3.0673420462108214e-12,-2.8617847191085764e-12,0.1999999999999095,-1.6470508285629923e-11,8.268299883672263e-13,1.752475034409724e-12,0.19999999939956611,4.84889076314422e-12
2020-07-31,-6.831369790793387e-26,0.20000000000056667,0.20000000000301627,0.20000000000292528,-2.0352331123253448e-13,6.71534729571233e-13,6.333669777729176e-13,5.473883673501281e-13,4.785180316186634e-13,1.1033180192077736e-13,4.927411589345726e-13,5.088935527254789e-13,1.876567911955876e-13,2.684931513072908e-13,9.655983074870162e-13,2.36679243344579e-13,1.8672164891306148e-13,2.6922824427310465e-13,1.4371964678674693e-12,4.598842790309493e-13,6.617414587607325e-13,5.254808036942537e-13,1.6069175340415564e-12,1.3316322577536057e-12,1.8162950867110945e-12,0.20000000000165258,6.611698922718859e-13,8.459192424239094e-13,1.0559297765406471e-12,-7.75997117985345e-13,0.19999999996902787,-1.1173448238830423e-12,3.170756453474002e-13,5.866855403302283e-13,2.5694335179437777e-12,1.2819642512406814e-12
2020-08-31,3.300464283934909e-27,0.200000000000218,0.20000000000022589,0.1999999999999615,-1.2500161833721331e-14,1.0745392710034742e-13,3.6052634383676746e-14,4.881749738296204e-14,1.2774730694071138e-13,1.0397196898820372e-14,3.734059465301298e-14,4.27416435310955e-14,1.596605750037018e-14,3.271686472444609e-14,2.3363398749969177e-14,2.07897591670635e-14,1.6751703833039224e-14,2.14194996231069e-14,1.621432528415669e-13,2.2498364742292827e-13,5.475965213506813e-14,4.378381609519495e-14,0.19999999999780074,1.2867475473634282e-13,1.1147985936760685e-13,0.1999999999997629,5.501140606743968e-14,8.628917844306282e-14,1.1487803351881242e-13,-3.8039811228801795e-14,6.494552788833442e-14,-8.38061141123326e-14,3.67190311533692e-14,4.724165530250744e-14,8.89974309851808e-14,1.3518394917963736e-13
2020-09-30,-4.012422536959292e-27,0.20000000000027848,0.20000000000042145,0.2000000000002475,-2.6846472101854998e-14,1.0972805167113156e-13,9.35339686321023e-14,8.68710291226204e-14,2.1916560398124775e-13,1.4862880951716258e-14,6.680460677182316e-14,7.796028039974022e-14,2.399251291651117e-14,3.8735112365402117e-14,2.3949536854197085e-14,3.451181649022338e-14,2.6720331838206555e-14,3.381788662116004e-14,0.19999999999562845,7.786740999758939e-14,1.0065671656788214e-13,7.819080532315431e-14,1.870849598520169e-13,2.8652513276869145e-13,2.633477447519895e-13,0.19999999999938448,1.0318089109648142e-13,1.4623006312636526e-13,9.266326323730594e-13,-9.205104983383658e-14,1.5259555775393435e-13,-1.9836263028269725e-13,4.675608513199862e-14,1.2429983644857838e-13,9.075993035010539e-14,2.876826889351435e-13
2020-10-31,1.0599246100272174e-25,0.20000000000713616,0.2000000000113288,1.9314819431577507e-12,1.5325007599853176e-12,2.491999869948271e-12,1.9617801945301832e-12,1.892412571802175e-12,7.797425606272601e-13,2.4147709370172447e-13,1.467455430659108e-12,1.7783197277697481e-12,5.001484095832243e-13,8.221691401139204e-13,2.910305868351501e-13,7.133450173276347e-13,4.804356667887831e-13,7.751727222919938e-13,0.2000000000020339,1.6672174335586673e-12,2.473442780910936e-12,0.20000000000443094,3.198065659756842e-12,7.446216384990006e-12,7.805465570650357e-12,2.1462685947321155e-12,2.451901422293261e-12,3.0199154545639247e-12,0.19999999990584252,-1.7939193998942563e-12,1.9944518097189215e-12,-6.201941343309827e-12,9.890012196909816e-13,1.9719438849023104e-12,2.101931964379842e-12,6.3063305837514224e-12
2020-11-30,-1.4727478096994194e-27,0.1999999999999334,0.1999999999999822,9.807882695788725e-14,0.1999999999999822,3.872718464025488e-14,6.305931841843615e-14,3.3133383841494844e-14,1.61267510638452e-14,6.966067303188387e-14,2.429837571447881e-14,4.942222087494954e-14,1.3846363906333929e-14,3.1512925417150404e-14,4.6636661025528156e-14,1.9597861505188036e-13,1.2187487046436213e-14,1.0405445546457039e-14,2.3631196145388103e-13,3.0129100799762866e-14,7.584334225729027e-14,0.19999999999979323,5.273793144945342e-14,8.808836640703046e-14,7.9665807798784e-14,4.068386351323172e-14,3.879625325702137e-14,5.5599609405363735e-14,1.5085555627814836e-13,-3.23070513886493e-14,9.134805264239383e-14,0.19999999999834206,1.9059687445365983e-14,3.150793742619065e-14,1.5691791477631927e-13,8.402050882527861e-14
2020-12-31,-3.9294993385417364e-26,0.19999999999909515,0.20000000000028542,-2.4873172812370092e-14,0.20000000000028542,6.896117469869833e-14,1.6042088829261908e-13,6.067588023866897e-14,3.175576098116367e-14,1.7848712930486416e-14,4.491278878482781e-14,5.386089290499555e-14,2.74023025510198e-14,3.2429117650410043e-14,8.114932474461396e-15,2.860592880768307e-14,2.4709232864819447e-14,2.1542902527984954e-14,0.19999999999861753,8.862085185875248e-14,6.119221910228483e-14,6.952500533241608e-14,9.872296650367425e-14,1.6458918335529546e-13,1.2876148330366683e-13,7.734536316030926e-14,6.98555874413727e-14,1.09875826962628e-13,0.19999999999858745,-6.731700522706777e-14,9.919512507709933e-13,2.843853936598326e-13,3.672886404576461e-14,5.620871111639521e-14,5.997993231318915e-14,1.5789840175346702e-13
2021-01-31,2.6875155060079084e-25,2.156267032102357e-12,0.200000000007915,-1.1883619968884157e-12,0.20000000000755638,1.5043194668805069e-12,9.973197452841713e-13,1.3752179422871112e-12,6.850424377094021e-13,4.593474480774362e-13,9.732971868550644e-13,1.2179513336386446e-12,5.6209038817017e-13,6.835232443988534e-13,3.189951829549679e-12,6.015445678039775e-13,5.167818146111615e-13,4.271879456349588e-13,0.1999999999915938,3.16799227128398e-12,5.178096935016985e-12,7.281740875986554e-12,2.2521773175740166e-12,3.759943599346223e-12,2.947370700563183e-12,1.5654622685237536e-12,1.5397137249083373e-12,2.287624563239496e-12,0.19999999993475173,-1.4479681566434836e-12,2.3282133272405606e-12,0.2000000000012024,7.965448980583131e-13,1.2416799774174842e-12,1.3105404797249654e-12,3.337437152052324e-12
