Date,Universe,Strategy,Ticker,Weight
2016-11-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.0256945363164159e-12
2016-12-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,7.659611937836009e-13
2017-01-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,8.672766002203625e-13
2017-02-28,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.409304819489302e-12
2017-03-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.7741358544270234e-12
2017-04-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.3049157115978477e-12
2017-05-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.388365868851933e-13
2017-06-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.338262359853625e-13
2017-07-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,7.789893242043484e-13
2017-08-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.4208948944818254e-13
2017-09-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,7.744641269310261e-13
2017-10-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,4.728883756944085e-14
2017-11-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,4.038114481456667e-13
2017-12-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.048901520282747e-12
2018-01-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.958802563949963e-13
2018-02-28,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.0377930749939885e-12
2018-03-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,4.804642631698403e-12
2018-04-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,8.788672077694167e-12
2018-05-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.4132399693280144e-11
2018-06-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,9.528692789500507e-12
2018-07-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,4.759952332659468e-12
2018-08-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,3.649331020654124e-12
2018-09-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,3.883408679506009e-13
2018-10-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.3181044495365634e-13
2018-11-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.093907034861336e-13
2018-12-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.0620733541507498e-13
2019-01-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,8.462993918550017e-13
2019-02-28,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,3.413455999943075e-14
2019-03-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.407456187703701e-13
2019-04-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,9.616827332339875e-14
2019-05-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,5.242525571212603e-14
2019-06-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,7.3160717279973e-14
2019-07-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.6409591055294434e-13
2019-08-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.237586707496882e-13
2019-09-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.1729865397278376e-13
2019-10-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.5203559327149284e-13
2019-11-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.569914416693236e-14
2019-12-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,8.089213215795967e-14
2020-01-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.3917201276844122e-12
2020-02-29,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,3.803617000242563e-14
2020-03-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,5.830575637097982e-13
2020-04-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,0.0
2020-05-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,8.979092898996143e-14
2020-06-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.5005021549748865e-14
2020-07-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,5.150226541646217e-14
2020-08-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,7.929432776823063e-14
2020-09-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.755571129361525e-12
2020-10-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,3.2184637850819255e-12
2020-11-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.297371904365138e-13
2020-12-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.487197006883366e-13
2021-01-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,3.4272534801419005e-13
2021-02-28,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.933834939442746e-13
2021-03-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,4.0829549538930285e-13
2021-04-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.6239111098653944e-13
2021-05-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,5.828782537564428e-14
2021-06-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.025465417499473e-13
2021-07-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,9.982029491013484e-14
2021-08-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.0943427624327772e-13
2021-09-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,4.081808816866382e-13
2021-10-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.737343792488881e-13
2021-11-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.486058710231564e-13
2021-12-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.2267416739583874e-12
2022-01-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.864034453856748e-12
2022-02-28,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,5.4857529922665425e-12
2022-03-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.853756936936016e-12
2022-04-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.6728013771559353e-12
2022-05-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,7.295259499992047e-12
2022-06-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.112809156252442e-12
2022-07-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,6.5098612074581045e-12
2022-08-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,1.0094342842257632e-12
2022-09-30,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.0720635482385387e-12
2022-10-31,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,USO,2.2772932846643337e-12
