,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2014-05-31,0.0,0.0,0.19999999998978832,0.19999999999431461,7.68971027216328e-12,0.19999999999021795,9.324886121813937e-12,6.773401973270839e-12,1.139982039278844e-11,0.19999999998351173,1.2384167696117606e-11,6.75969532265624e-12,2.3919636343485936e-12,0.19999999998544365
2014-06-30,0.0,0.0,0.1999999999599934,0.1999999999442189,4.584025818124447e-11,0.19999999996040949,0.19999999981470068,6.774855978327433e-11,5.330811239785438e-11,0.19999999994529638,1.0617844001966665e-10,6.550626989274023e-11,1.1101107975633651e-11,2.5698492869433057e-11
2014-07-31,0.0,0.0,0.19999999999409904,0.19999999998634288,4.381413911404601e-12,0.19999999999382828,1.6760486503150015e-10,9.63427071207204e-12,1.1768058631377092e-11,0.1999999999831762,1.5930125342779453e-11,8.960604292270267e-12,1.3711321291974196e-12,0.19999999982290295
2014-08-31,0.0,0.0,0.19999999987189473,0.19999999984475395,1.0952341975874357e-10,0.1999999998684347,1.7820693907356977e-10,7.607659495201979e-11,7.229003735116198e-11,0.19999999984593578,1.0881768440664779e-10,7.55452095794881e-11,3.451238054576293e-11,0.19999999991400846
2014-09-30,0.0,0.0,0.1999999999905242,0.1999999999894836,8.32195204180091e-12,0.199999999990629,2.09748070223585e-11,6.8965155890210935e-12,7.595455902631574e-12,0.1999999999926279,1.2111453870224908e-11,6.7665061375143175e-12,1.961905854153898e-12,0.1999999999721069
2014-10-31,0.0,0.0,0.19999999985425193,0.1999999998524479,1.2075381211353072e-10,0.19999999986074354,3.449211139084217e-10,1.1458473338066754e-10,1.0691276935564094e-10,0.1999999999095201,1.408094489705931e-10,1.1418741420471619e-10,4.031122442905443e-11,0.19999999954055606
2014-11-30,0.0,0.0,0.19999999998802934,0.19999999998084564,6.692451580026725e-12,0.19999999998984339,9.413542433719753e-09,9.596390564926915e-12,9.915599629543663e-12,0.19999999098195312,1.4839345147479005e-11,9.675168272339213e-12,4.60382718131568e-12,0.19999999959046325
2014-12-31,0.0,0.0,0.19999999998773177,0.19999999997623474,5.559491077690488e-12,0.19999999998983148,1.601713825762475e-08,1.034078560493143e-11,1.2321052101271998e-11,0.19999999047023093,1.5668151802144994e-11,1.1146487859533407e-11,4.1130317564073544e-12,0.199999993499684
2015-01-31,0.0,0.0,0.19999999998380313,0.19999999996999712,8.19271930914599e-12,0.19999999998456955,2.8231260986171555e-08,1.243774875035674e-11,1.6921346249070267e-11,0.1999999784572799,2.212802968209591e-11,1.5193327229086814e-11,7.049177746767997e-12,0.19999999329116697
2015-02-28,0.0,0.0,0.19999999997795584,0.19999999994585393,9.123690222769154e-12,0.19999999997553206,0.1999999364907794,1.340603416197369e-11,2.650761707204564e-11,7.043522536035015e-08,3.7881270164671005e-11,1.9797968089966027e-11,6.674353374104806e-11,0.19999999300119334
2015-03-31,0.0,0.0,0.1999999999204546,0.19999999989157488,5.458392384315855e-11,0.1999999999281814,0.1999999996914202,7.724721421050915e-11,1.3443874231967756e-10,1.5668656664335946e-09,2.402601574040881e-10,1.0707387388564722e-10,3.7024395563674037e-11,0.19999999835087504
2015-04-30,0.0,0.0,0.19999999994232825,0.1999999996659132,1.6143255514765246e-11,0.19999999995901793,0.1999999998659428,2.3561158166168255e-11,4.307539352953509e-11,1.775642679109985e-10,5.270583557190386e-11,3.087185189005015e-11,0.19999999996253146,2.6034453852114873e-10
2015-05-31,0.0,0.0,0.19999999998760937,0.199999999966951,6.7361697957600174e-12,0.19999999998696336,0.19999999997913695,7.802914317841331e-12,1.434906771563022e-11,9.662233282825257e-12,1.6986748850889038e-11,1.0153172389342664e-11,0.199999999995001,1.8648021771798948e-11
2015-06-30,0.0,0.0,0.19999999999651433,0.19999999999490034,1.725645754874704e-12,0.1999999999967145,0.19999999999441087,2.0125023407145223e-12,3.4871701549318678e-12,1.9568057680123227e-12,4.133798315044697e-12,2.606849117758729e-12,0.19999999999873108,2.806094260393807e-12
2015-07-31,0.0,0.0,0.19999999999571083,0.19999999999559126,1.730835575705358e-12,0.19999999999658186,0.199999999992261,1.948152128464717e-12,3.426119064625787e-12,1.70478900818958e-12,3.59085306068375e-12,2.5880971785627128e-12,0.1999999999986885,6.177620449023166e-12
2015-08-31,0.0,0.0,0.19999999999558477,0.19999999999175777,2.2942038131924425e-12,0.199999999995778,0.19999999999255785,2.471405207724399e-12,3.831272849934044e-12,1.8051844092146461e-12,3.773589132729272e-12,3.0977009417932024e-12,0.19999999999849752,8.55074810263806e-12
2015-09-30,0.0,0.0,0.19999999999396892,0.199999999971441,3.0993884149564527e-12,0.19999999999425622,0.19999999998350262,3.0248589093704077e-12,4.339254624362055e-12,2.715105746557209e-12,4.098103700432321e-12,3.845746552266356e-12,0.19999999999781326,3.789577381054631e-11
2015-10-31,0.0,0.0,0.19999999999573945,0.19999999999493986,1.5094534052701031e-12,0.19999999999732507,0.19999999999324158,1.5564994545570848e-12,4.0112873567059105e-12,3.620538260747883e-12,4.3159826273982295e-12,2.4117688255607667e-12,0.19999999999868653,2.641953166864363e-12
2015-11-30,0.0,0.0,0.19999999999750084,0.199999999995117,9.907805930653757e-13,0.1999999999982511,0.1999999999964605,1.0105806518123153e-12,2.4528271302937173e-12,2.991106389032649e-12,2.9927390930960423e-12,1.5583915573011326e-12,0.199999999999112,1.5621135300529706e-12
2015-12-31,0.0,0.0,0.19999999999656992,0.19999999999758178,1.5531757672072726e-12,0.19999999999722579,0.1999999999975229,1.5472875757085373e-12,6.257910456651538e-12,3.089202561155244e-12,1.473531434230395e-13,7.478078964518395e-14,0.19999999999824247,1.874570632194832e-13
2016-01-31,0.0,0.0,0.19999999999614188,0.1999999996625108,6.820942684549128e-13,0.19999999999811116,0.19999999999473608,7.545499601084873e-13,1.622939055589948e-12,1.4566509780357385e-12,8.246222565045594e-13,1.352898425610688e-12,0.19999999999906853,3.4273777687847347e-10
2016-02-29,0.0,0.0,0.19999999999492346,0.19999999738565352,1.3648251916486515e-12,0.19999999999573723,0.19999999998964335,1.6163546750949573e-12,3.31522866052173e-12,3.3956179900224377e-12,3.34969049263556e-12,2.8197976030107137e-12,0.19999999999832344,2.619857509428809e-09
2016-03-31,0.0,0.0,0.1999999999183429,0.19999999816252942,1.8200547261027174e-11,0.19999999993846596,0.19999999989883868,2.0705288317275954e-11,4.221134062223649e-11,4.362206363866225e-11,2.3696930004501964e-11,3.640965915333518e-11,0.19999999997810555,1.918871648037349e-09
2016-04-30,0.0,0.0,0.19999999997127557,0.19999999822974782,7.721196754913134e-12,0.199999999978089,0.1999999999856943,8.939772917607517e-12,1.7088923732561902e-11,1.622619631141782e-11,9.807599058663116e-12,1.4658051610863965e-11,0.19999999999118065,1.7695709964919318e-09
2016-05-31,0.0,0.0,0.19999999971080565,0.19999999012257935,4.776038498586978e-11,0.19999999981741495,0.19999999981052843,5.849616438741385e-11,1.0471043727734528e-10,3.218380641907324e-11,5.858281350792653e-11,1.025439821716185e-10,0.1999999999352213,1.0199172820604842e-08
2016-06-30,0.0,0.0,0.1999999998287151,0.1999999761082037,4.1837197914891166e-11,0.19999999987232045,0.1999999997378989,5.159431496173044e-11,8.95582012207851e-11,9.083538763646728e-11,1.0422911084542169e-10,7.624607919874052e-11,0.1999999999379045,2.4060657054245793e-08
2016-07-31,0.0,0.0,0.19999999995674062,0.19999997594776556,5.691450471156364e-12,0.19999999997849305,0.19999999992585665,7.232325323224416e-12,1.6443202985891993e-11,2.4326543497841126e-11,3.140324715557016e-11,1.2117200668848967e-11,0.1999999999902278,2.410370229346879e-08
2016-08-31,0.0,0.0,0.1999999997961661,0.19999997542088288,2.502134744509948e-11,0.19999999989253855,0.19999999970644125,3.216520164524856e-11,7.030345097237893e-11,1.040557627971351e-10,1.285428303833421e-10,5.876036196340483e-11,0.1999999999608222,2.4804300036748072e-08
2016-09-30,0.0,0.0,0.19999999997103787,0.19999997545217071,5.164443325420588e-12,0.19999999998377252,0.19999999995421178,6.521053452669998e-12,1.2051322474217346e-11,1.753562325468032e-11,2.253849387165051e-11,9.556293262834757e-12,0.19999999999378637,2.4571653523107512e-08
2016-10-31,0.0,0.0,0.19999999991086684,0.19999999821558137,8.250821997325893e-12,0.19999999995559817,0.1999999999060227,1.2059927899401269e-11,1.4945576671045157e-11,1.4894941652532485e-11,2.7922561618247896e-11,1.3508469698972516e-11,0.19999999998151657,1.938832054019159e-09
