,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2015-04-30,6.512466792686531e-13,6.512466792686531e-13,6.512466792686531e-13,6.512466792686531e-13,6.591185675214068e-13,3.979424054745604e-12,6.512466792686531e-13,2.486084958763068e-12,1.2769226581991494e-12,9.12747175411831e-13,2.6793391818805765e-12,1.5558284411697041e-12,2.7835356689957766e-12,1.3593364242792521e-12,2.155798736320626e-12,1.3868533457677813e-12,1.1167024240516088e-12,3.5516912448832264e-13,2.16292981988579e-13,7.375827481253333e-12,1.889938760203778e-11,0.19999999996007126,6.512466792686531e-13,5.757000917144374e-10,0.19999999999510953,6.512466792686531e-13,0.19999999999860635,5.231502556196954e-12,0.0,3.168321834459611e-13,6.512466792686531e-13,3.8223166360437596e-13,1.646052662003927e-12,0.1999999994149491,9.21796018346815e-12,0.19999999998436102
2015-05-31,2.744087724138259e-12,2.744087724138259e-12,2.744087724138259e-12,2.744087724138259e-12,2.273349115036964e-12,8.738323062545281e-12,2.744087724138259e-12,6.793419223296237e-12,4.412162991400631e-12,3.66635019565236e-12,7.459149264631555e-12,5.359017252895056e-12,6.716955127127889e-12,4.685914456910898e-12,6.391468786021281e-12,4.761599931389219e-12,4.041405378603663e-12,1.6746745062072566e-12,0.19999999983060945,1.0385376651232054e-11,1.2790964403464915e-11,2.776613055914896e-11,2.744087724138259e-12,0.19999999998358498,0.19999999997637505,2.744087724138259e-12,0.19999999998276055,9.662964029124928e-12,0.19999999999950754,1.339086675425789e-12,2.744087724138259e-12,1.7377413528311e-12,5.4147501502353355e-12,2.3310978882810474e-11,1.1207384648976312e-11,3.4620622837330425e-11
2015-06-30,2.8389931790870085e-12,2.8389931790870085e-12,2.8389931790870085e-12,2.8389931790870085e-12,2.753610909015402e-12,7.141312704391664e-12,2.8389931790870085e-12,5.855517276957443e-12,4.253640820988598e-12,3.6292137895541898e-12,6.107591901189742e-12,5.03388875413588e-12,5.8863024859386145e-12,4.4769720019772884e-12,5.4906035178428315e-12,4.549654847918589e-12,3.966934040947468e-12,1.6900681773594514e-12,3.743383118066123e-12,8.40856944907667e-12,8.560569643995582e-11,1.5353627367917487e-11,2.8389931790870085e-12,0.19999999997190807,0.19999999996586876,2.8389931790870085e-12,0.199999999984887,8.063087746844348e-12,0.19999999999551102,9.862141266214685e-13,2.8389931790870085e-12,1.7537130139575184e-12,5.01852614867931e-12,3.5615959504598296e-11,9.780974168448274e-12,0.19999999982394834
2015-07-31,7.576126399257579e-13,7.576126399257579e-13,7.576126399257579e-13,7.576126399257579e-13,7.455482103480722e-14,2.8092112432546186e-12,7.576126399257579e-13,1.6927422317927496e-12,1.0716055839964228e-12,9.511855139485966e-13,2.107045914720219e-12,1.3464032107997036e-12,1.794225235711857e-12,1.1716515078856152e-12,1.5156158599216637e-12,1.1760081865875436e-12,1.0233861279914045e-12,4.557398838258939e-13,4.4755878965273945e-11,4.705199272619381e-12,1.1955925050846503e-11,7.461611211256407e-12,7.576126399257579e-13,0.19999999996322024,0.19999999996806136,7.576126399257579e-13,0.19999999997939816,3.926738277751263e-12,0.2,1.7961437117824972e-14,7.576126399257579e-13,4.163643133761237e-13,1.322665744051498e-12,4.2224423094772375e-11,5.117443286421447e-12,0.19999999994416584
2015-08-31,3.8960822297007205e-13,3.8960822297007205e-13,3.8960822297007205e-13,3.8960822297007205e-13,1.209587489359234e-13,1.266348184867173e-12,3.8960822297007205e-13,9.971058583898977e-13,5.771075135866066e-13,5.187563991669325e-13,1.1512137359345529e-12,7.63099165767597e-13,1.0009377493768802e-12,6.636594213722943e-13,8.051003464083673e-13,6.589120377727098e-13,5.402599147817684e-13,2.1871574210516588e-13,2.192119882813323e-13,1.0320989995134096e-12,3.572543084807187e-11,2.6913283596108745e-12,3.8960822297007205e-13,0.19999999999531134,0.19999999999798412,3.8960822297007205e-13,0.1999999999982014,1.1287230211670686e-12,1.929382351847744e-13,2.7011746907432055e-14,3.8960822297007205e-13,1.8988803485648792e-13,7.692124087289177e-13,0.1999999999867551,1.0234622983956948e-12,0.19999999996634987
2015-09-30,1.239547440827277e-12,1.239547440827277e-12,1.239547440827277e-12,1.239547440827277e-12,4.391278384064147e-14,4.066615167406454e-12,1.239547440827277e-12,2.5426954447937223e-12,1.6072914627721208e-12,1.5521039660506555e-12,2.9812364878157188e-12,2.080043023170069e-12,2.3703166952160535e-12,1.885263514671919e-12,2.2297447412130644e-12,1.842721576706944e-12,1.5451403742269167e-12,6.622418380611248e-13,5.110437941037664e-13,4.205638558842132e-12,9.865170997299004e-11,1.6798366149508346e-11,1.239547440827277e-12,0.19999999994323994,0.19999999998780962,1.239547440827277e-12,0.19999999920433187,6.0294679417892346e-12,0.19999999999174303,0.0,1.239547440827277e-12,4.622353730597391e-13,2.116925659858517e-12,0.19999999995547016,9.823803548538986e-12,7.434804806965753e-10
2015-10-31,1.2895951584198346e-12,1.2895951584198346e-12,1.2895951584198346e-12,1.2895951584198346e-12,4.572402777986304e-13,6.404627664835159e-12,1.2895951584198346e-12,3.062224254195785e-12,1.9659378213558033e-12,1.6785582817812372e-12,3.7094656508500786e-12,2.5188988343851846e-12,2.9804103091435826e-12,2.237918084857522e-12,2.8783466597096325e-12,2.1932450969826424e-12,1.826924901135669e-12,7.818837726228079e-13,6.432038810780214e-13,6.613910449325428e-12,1.513156653982799e-11,1.0757611509212079e-11,1.2895951584198346e-12,0.19999999997349704,0.19999999999368198,1.2895951584198346e-12,0.19999999998518497,8.409860036131564e-12,0.19999999999613877,1.0111595806670346e-13,1.2895951584198346e-12,6.003784342945809e-13,2.4984831048396737e-12,0.1999999999172482,1.0167321735864647e-11,3.63133186179625e-11
2015-11-30,3.09332899066652e-13,3.09332899066652e-13,3.09332899066652e-13,3.09332899066652e-13,7.574186578491621e-14,9.396954653963076e-13,3.09332899066652e-13,5.875407107136049e-13,4.290153701798939e-13,3.6760325009144933e-13,6.31945969271495e-13,5.017339671907181e-13,5.406392073646293e-13,4.5382267943549063e-13,5.383648402039169e-13,4.564842971411709e-13,3.964357921495118e-13,1.9488296646870084e-13,0.19999999999918464,9.145046508384948e-13,1.300108234751438e-12,1.2673303118275195e-12,3.09332899066652e-13,0.19999999998300888,0.1999999999985119,3.09332899066652e-13,0.19999999999786816,1.0828088666065358e-12,0.1999999999985995,1.2432303006446586e-13,1.2259718783380697e-12,1.3242138073223393e-13,4.985252088107335e-13,5.7169979907582515e-12,1.2055439717360263e-12,1.0791875314344184e-12
2015-12-31,3.4028388512692683e-13,1.5060070066023963e-13,3.4028388512692683e-13,3.4028388512692683e-13,0.0,1.646830715347e-12,3.4028388512692683e-13,7.874916706211708e-13,5.06416696383541e-13,4.1018933446330836e-13,9.755563438643184e-13,6.425755010736332e-13,6.629877319559743e-13,5.528804710617271e-13,6.655590643455001e-13,5.523796461662555e-13,4.5075853898839964e-13,1.6796513560785824e-13,0.19999999999908205,1.4901020900461343e-12,3.5624179839410596e-12,2.238874610375698e-12,3.4028388512692683e-13,0.1999999999880716,0.1999999999982712,3.4028388512692683e-13,1.9596376333938054e-10,2.0378614184850697e-12,0.19999999999941745,1.7787948063763318e-13,3.6246007356093637e-12,5.938130729704558e-14,6.459021161333409e-13,0.19999999978704183,2.533525742015367e-12,5.567768318734726e-12
2016-01-31,1.7844318822330454e-12,9.513149392336782e-13,1.7844318822330454e-12,1.7844318822330454e-12,2.4766356801955405e-13,4.215634608973072e-12,1.7844318822330454e-12,2.785973741060833e-12,2.142294785191217e-12,1.8039434312346314e-12,3.1312307886058458e-12,2.6428991005071048e-12,2.316006649014007e-12,2.366286367278286e-12,1.402088868574137e-12,2.3199372201275022e-12,2.016474253438052e-12,1.1605845970748405e-12,0.19999999998507376,3.4057743910919014e-12,9.478715382964883e-12,5.415920807132178e-12,1.7844318822330454e-12,0.1999999999640358,0.19999999998899606,1.7844318822330454e-12,8.03099952252825e-12,5.286711569612367e-12,0.19999999998888124,1.9685807539910236e-13,8.62656905389578e-12,2.2520855914426286e-13,2.55092798184842e-12,0.19999999997299728,6.8323216763900704e-12,9.757180985117332e-12
2016-02-29,3.797477469000386e-12,1.8149718867217525e-12,3.797477469000386e-12,3.797477469000386e-12,2.6047145509627473e-13,8.959934478963118e-12,3.797477469000386e-12,6.576839349298065e-12,4.467493404007404e-12,3.565410518572654e-12,7.558666867087091e-12,5.895756305426712e-12,2.1492070299685914e-12,5.1664419612455385e-12,5.922082081206791e-12,4.9130636869518795e-12,4.1431575680338234e-12,2.701783585909063e-12,0.1999999999780961,7.720407137429229e-12,1.583060432683312e-11,9.827061377032899e-12,3.797477469000386e-12,0.19999999993520406,0.19999999998199863,3.797477469000386e-12,9.333963823568318e-12,9.437953099641531e-12,0.19999999996176368,0.0,1.839663519382871e-11,0.0,5.624435139366524e-12,0.19999999995628373,1.0550904318225571e-11,1.3051873685173155e-11
2016-03-31,3.5284716899196277e-12,1.6506742821872202e-12,3.5284716899196277e-12,3.5284716899196277e-12,3.9769207365548787e-13,8.48313562976737e-12,3.5284716899196277e-12,6.363047979434815e-12,4.756934334390369e-12,3.640118615442843e-12,6.806674879695119e-12,5.88709990132946e-12,3.4702358320489286e-12,5.1377637840844564e-12,5.811554920839533e-12,5.029462892902992e-12,4.261689761671824e-12,2.442787808261389e-12,0.19999999997068713,7.39231853613491e-12,1.0594319051589592e-10,1.5390774299383756e-11,3.5284716899196277e-12,0.19999999972370416,0.199999999962245,3.5284716899196277e-12,1.8166972911423478e-11,1.0193468549435237e-11,0.19999998811717312,1.4033458222740918e-12,1.1734685661698505e-08,0.0,5.539130276635303e-12,0.19999999989734252,1.483825801884635e-11,3.2998529427111356e-10
2016-04-30,2.4073132463087187e-12,1.4521963035159733e-12,2.4073132463087187e-12,2.4073132463087187e-12,1.2480243601541316e-12,1.0470491159560888e-11,2.4073132463087187e-12,5.249229251298882e-12,3.3535078556110847e-12,2.5906265088358115e-12,6.1817290857171205e-12,4.349130125213477e-12,4.07807566423812e-12,3.7056882359736736e-12,4.6775553558320065e-12,3.621604130216712e-12,2.9946161174811962e-12,1.928314735223083e-12,0.1999999999920531,8.294175158652788e-12,3.512410793156296e-11,1.705076581172111e-11,2.4073132463087187e-12,0.1999999998003969,0.19999999999122525,2.4073132463087187e-12,2.2909662396629685e-11,1.2232846383965877e-11,0.19999999990040462,1.4839846282107492e-12,1.1924680824753873e-10,1.2438979932155392e-12,4.128667782291548e-12,0.19999999997921145,1.699667267778269e-11,2.765246253234953e-11
2016-05-31,1.2614226816503007e-12,5.798647549985281e-13,1.2614226816503007e-12,1.2614226816503007e-12,5.39816011869407e-13,5.395620543817363e-12,1.2614226816503007e-12,2.830338914357637e-12,1.812905841130431e-12,1.3025627347200813e-12,3.512605442017446e-12,2.4961478409310886e-12,2.166434743892492e-12,2.059562870632222e-12,2.5581750133011663e-12,1.888460227881329e-12,1.6130810469315952e-12,8.595594284450126e-13,0.19999999998357132,4.888484940498537e-12,5.699846949254242e-10,9.442557375870125e-12,1.2614226816503007e-12,0.19999999996699785,0.19999999999256918,1.2614226816503007e-12,6.9138122411017626e-12,5.6129116311872305e-12,1.7469509086623216e-11,6.623480877826991e-13,0.19999999929548928,5.79859642587525e-13,2.3042758689963417e-12,0.19999999998129317,6.749961192337666e-12,1.1828735173257448e-10
2016-06-30,8.618680195301573e-12,6.8227994098445915e-12,8.618680195301573e-12,8.618680195301573e-12,6.9016609299280755e-12,2.5287299230516178e-11,8.618680195301573e-12,1.2314709080530083e-11,9.70811437941842e-12,8.385834216864473e-12,1.5057864513195055e-11,1.126736731842439e-11,1.0231469024188307e-11,1.032574190651164e-11,1.1062955304663208e-11,1.00924752638698e-11,9.197316407491426e-12,7.929791628634118e-12,0.19999999996270312,1.4230035030492648e-11,1.1303888063324152e-10,5.376715770397682e-11,8.618680195301573e-12,0.1999999997763514,0.19999999997451598,8.618680195301573e-12,5.183942768645333e-11,3.1623675661648794e-11,8.560914736296639e-12,8.237086682474239e-12,0.1999999996936528,6.673605652224242e-12,1.1048699607119462e-11,0.19999999996715434,5.016411689561508e-11,7.014127368729397e-11
2016-07-31,3.027689148671581e-12,2.4650166439313103e-12,3.027689148671581e-12,3.027689148671581e-12,2.361624009768567e-12,6.347100650415055e-12,3.027689148671581e-12,3.9505925687941206e-12,3.4521207904447126e-12,2.9948596544531307e-12,4.3957077868604294e-12,3.774559003846082e-12,3.551497652249106e-12,3.5671941681083333e-12,2.6290996600731583e-12,3.5128048616235877e-12,3.2631417994954344e-12,2.854290042741514e-12,0.1999999999688557,4.569209826831514e-12,6.220271258678169e-11,1.9621283574933655e-11,3.027689148671581e-12,0.19999999992571468,0.19999999998432014,3.027689148671581e-12,7.116743346735309e-11,8.40991756339859e-12,3.1590142415126155e-12,2.8971333487588095e-12,0.19999999984992933,2.162990482688164e-12,3.706104109816978e-12,0.19999999996997891,1.3866286501917004e-11,4.215361548585318e-11
2016-08-31,1.0947962942068354e-12,7.382592813726194e-13,1.0947962942068354e-12,1.0947962942068354e-12,7.200408583737639e-13,2.1137075714196466e-12,1.0947962942068354e-12,1.6219629361106475e-12,1.368358270337176e-12,1.082543329928854e-12,4.702085624642312e-13,1.5548613131711584e-12,1.4068135864060054e-12,1.4001369317122566e-12,1.168692170247095e-12,1.388052249534887e-12,9.067444991556779e-13,9.643011841869669e-13,0.1999999999919278,1.8358718482525682e-12,8.028803705259495e-12,3.912171538536744e-12,1.0947962942068354e-12,0.19999999996716986,0.1999999999956849,1.0947962942068354e-12,6.0755200502342104e-12,2.3910212897515016e-12,1.051265072484478e-12,1.0050968600715985e-12,0.19999999999145956,6.572084145807005e-13,1.4853973503574557e-12,0.19999999999525017,3.2228947014465984e-12,5.369124901850945e-12
2016-09-30,8.582450243383217e-13,3.968275498536731e-13,8.582450243383217e-13,8.582450243383217e-13,4.054759555303748e-13,6.07653455076261e-12,8.582450243383217e-13,2.233861810018257e-12,1.3878818462327248e-12,8.119147984114222e-13,2.8818841858146573e-12,1.930653351776328e-12,1.5086192331486768e-12,1.491140051046408e-12,1.9160413903032896e-12,1.4508681989095704e-12,1.1216397512820414e-12,6.683032453394729e-13,0.1999999999939667,3.8625215321737926e-12,0.19999999934444443,1.6982369804278314e-11,8.582450243383217e-13,0.19999999998939974,0.19999999999685458,8.582450243383217e-13,2.2211440393285052e-11,8.599349722111212e-12,4.250343109623778e-12,7.016259013012045e-13,5.514067071031941e-10,3.383589947751322e-13,1.7059137899264698e-12,0.199999999992244,1.343642374090576e-11,3.016438406735753e-11
