,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2016-05-31,4.752597522676029e-13,2.8859467296199616e-13,4.752597522676029e-13,4.752597522676029e-13,3.2059738681516203e-13,1.3932041153890918e-12,4.752597522676029e-13,0.1999999999997836,7.749027838013108e-13,4.2852720066418977e-13,0.19999999999971152,1.0380454938487429e-12,4.830935894391378e-13,6.422173532260764e-13,6.945530657180106e-13,6.029817219732285e-13,5.745142724143127e-13,1.1784554315825672e-12,1.062321101009724e-12,1.4218767542968864e-12,0.19999999999628482,3.0719475417412097e-12,4.752597522676029e-13,1.981890753058976e-10,0.19999999999503734,4.752597522676029e-13,1.9075440613276832e-12,1.682552880792871e-12,1.8115028993282495e-12,1.485827950474656e-13,1.5700843969249185e-12,2.3819284886426047e-13,6.950071730474235e-13,0.1999999996419153,1.3541828513315338e-12,1.4284347342743863e-10
2016-06-30,3.5833832410323216e-12,2.046431592127202e-12,3.5833832410323216e-12,3.5833832410323216e-12,2.427437439601589e-12,9.779002281549712e-12,3.5833832410323216e-12,0.19999999999244564,5.358050310444887e-12,2.9626283705541317e-12,0.19999999999284176,7.628120603023923e-12,3.440520066257626e-12,4.702620348769353e-12,5.2543617177982025e-12,3.861722092014893e-12,3.766550420104173e-12,1.8601816220525244e-11,8.71085287495082e-12,8.64231966459608e-12,0.1999999999287338,2.5171797569825304e-11,3.5833832410323216e-12,3.1825768189030016e-11,0.19999999987861983,3.5833832410323216e-12,9.665119459860824e-12,9.720922495335437e-12,9.288299134226447e-12,1.0585406771383896e-12,9.703136515175543e-12,1.445836050509012e-12,5.177747431311084e-12,0.19999999994979156,9.747310670192558e-12,3.6080144403323346e-11
2016-07-31,3.142507150150476e-12,1.701525710395341e-12,3.142507150150476e-12,3.142507150150476e-12,1.7827223192102711e-12,7.037336764804567e-12,3.142507150150476e-12,0.19999999999440943,5.368517602062893e-12,2.6220469770287974e-12,0.19999999999512563,6.7657718717846206e-12,3.1742588165817687e-12,4.400391138460235e-12,4.740049064777365e-12,4.230927875031605e-12,3.814711907529685e-12,1.404614641041912e-11,7.341613268797792e-12,7.38758250477702e-12,0.19999999994622908,2.1473546961768762e-11,3.142507150150476e-12,6.436700750304194e-11,0.1999999998420272,3.142507150150476e-12,5.5233221156974775e-12,6.098265247736978e-12,7.357525555106317e-12,6.630760848224608e-13,5.68806234697117e-12,9.416709712353372e-13,4.766403708212213e-12,0.19999999995554865,7.168855323466054e-12,4.9343707974917754e-11
2016-08-31,7.68237708796838e-13,3.956006219124652e-13,7.68237708796838e-13,7.68237708796838e-13,4.562223831644072e-13,2.291958883736542e-12,7.68237708796838e-13,0.19999999999899729,1.3078898678004644e-12,6.461437762328225e-13,0.19999999999919976,1.7981234490803313e-12,7.797188686469434e-13,1.0557815751572928e-12,1.1785353742811499e-12,8.52461728156213e-13,7.603163202578316e-13,3.053624562119784e-12,1.998147633557673e-12,2.0604002939671704e-12,0.1999999999912512,6.5497413408445835e-12,7.68237708796838e-13,1.7237699145172424e-10,0.19999999997875015,7.68237708796838e-13,2.753533226414887e-12,2.5515066687205638e-12,1.8651856550256994e-12,1.763006125302448e-13,5.234965426763636e-12,2.5797277913975906e-13,1.1775067183681556e-12,0.19999999980389277,2.2596759513114747e-12,9.461202796074267e-12
2016-09-30,5.020137875662797e-13,2.6136555646952455e-13,5.020137875662797e-13,5.020137875662797e-13,3.1552774895593477e-13,1.33175742656835e-12,5.020137875662797e-13,0.1999999999994115,9.00126580063086e-13,4.060532971738081e-13,0.19999999999857412,1.1744973763779377e-12,5.136325906405952e-13,6.409194158085643e-13,7.875031772229886e-13,6.257077652433801e-13,5.717429116381399e-13,1.7099467160108398e-12,1.239739456760274e-12,1.2990572088975726e-12,0.19999999999518522,3.5050262044020172e-12,5.020137875662797e-13,4.2441543132722136e-08,0.1999999999873521,5.020137875662797e-13,1.4896974825714335e-12,1.4255201310148679e-12,1.1220285380722165e-12,9.016119469532907e-14,1.3477568235394691e-12,1.5373146198741654e-13,7.904403283171774e-13,0.1999999575178559,1.3242696085685854e-12,3.403974959168557e-11
2016-10-31,1.282311496894592e-12,6.773600288295594e-13,1.282311496894592e-12,1.282311496894592e-12,8.711086803906024e-13,7.602109927985866e-12,1.282311496894592e-12,0.19999999999791945,2.53628478075078e-12,1.052190831690654e-12,0.1999999999964327,4.086591521888284e-12,1.3364099956699009e-12,1.7319429842551493e-12,1.984591829611275e-12,1.7006461398973445e-12,1.613267101376199e-12,8.043277147249914e-12,4.177945020017375e-12,5.016331560340129e-12,0.1999999999868081,4.720915502996166e-12,1.282311496894592e-12,0.19999999985896458,0.19999999998001344,1.282311496894592e-12,9.300615354306775e-12,9.029668610398251e-12,3.088224402802084e-12,3.5931187389480333e-13,9.885160275881475e-12,4.121541983192159e-13,2.022295627020541e-12,7.793840975072491e-11,7.22872677453512e-12,5.752374830141945e-12
2016-11-30,2.6655476314410764e-12,1.8649536863268973e-12,2.6655476314410764e-12,2.6655476314410764e-12,1.7876185673522629e-12,8.911273093693326e-12,2.6655476314410764e-12,0.19999999998819443,4.1696917261608114e-12,2.17333654902757e-12,0.19999999999214726,5.967871150744697e-12,2.5033194484293007e-12,3.0430762389159735e-12,3.851765988736397e-12,2.7660576764456e-12,2.7371102864963165e-12,6.390260949147784e-12,5.390108485557079e-12,6.865842917799457e-12,0.19999999998770135,1.398882500957199e-10,2.6655476314410764e-12,0.19999999975895813,0.19999999997674164,2.6655476314410764e-12,8.976259890810261e-12,8.932776478473652e-12,4.5245260869386045e-12,1.1817921385257344e-12,8.934662737754879e-12,1.0335576482029002e-12,3.5918673254004105e-12,1.0341356318555199e-11,8.911210042373715e-12,2.5525313302538782e-11
2016-12-31,3.1704418296671515e-12,3.353526692272135e-12,3.1704418296671515e-12,3.1704418296671515e-12,2.40037055819161e-12,1.0976866037567185e-11,3.1704418296671515e-12,0.19999999998545634,5.41887634875181e-12,2.8621967021433306e-12,0.1999999999931818,6.711826098415819e-12,3.2361735261779774e-12,4.584291040895305e-12,4.634620945760263e-12,4.146224276426262e-12,4.139871790902662e-12,6.2382646702482836e-12,5.832962844177962e-12,7.712726982265833e-12,0.19999999998678453,6.433128218746472e-10,3.1704418296671515e-12,0.19999999928379975,0.1999999999309972,3.1704418296671515e-12,1.2645866634451067e-11,1.1837829803578019e-11,4.943428307332298e-12,1.522687706620872e-12,9.192120650386473e-12,1.380320120934511e-12,4.735771192322418e-12,1.7358532070824084e-11,1.0663234049675745e-11,1.0916354167725464e-11
2017-01-31,4.50109348395099e-12,3.373274652182442e-12,4.50109348395099e-12,4.50109348395099e-12,3.211385279917348e-12,1.2802833183946159e-11,4.50109348395099e-12,0.1999999999560711,8.063914778585328e-12,4.011529749946765e-12,0.19999999993997478,9.944792424274711e-12,4.7424383181350245e-12,6.356345044169633e-12,6.7330509863337186e-12,6.1468935187246035e-12,5.760776037340372e-12,1.0966556449496378e-11,8.793891524909426e-12,1.1784937380593486e-11,0.1999999999813047,2.5171791669121693e-10,4.50109348395099e-12,0.1999999996777482,0.19999999996543932,4.50109348395099e-12,1.2003838823734883e-11,1.2375589596590835e-11,7.240810911030251e-12,1.729220757393272e-12,1.2753324947160772e-11,2.0486889069578253e-12,6.894535652832064e-12,9.661183575825106e-12,1.2854627245061028e-11,2.0483120023860068e-11
2017-02-28,2.210655419758727e-12,1.6449068960197177e-12,2.210655419758727e-12,2.210655419758727e-12,1.6536584762985194e-12,1.0404545156514484e-11,2.210655419758727e-12,0.19999999997258444,3.992336675765681e-12,1.9637834125609e-12,0.19999999993734624,5.4857149401526354e-12,2.3166720046240935e-12,3.088186215737612e-12,3.3446581130934445e-12,3.00621963386558e-12,2.8277389425856502e-12,7.504285557591047e-12,4.9259463540703784e-12,7.119254815351559e-12,0.1999999999806312,7.455210919691244e-11,2.210655419758727e-12,0.1999999999452129,0.19999999995113515,2.210655419758727e-12,1.0302097307889705e-11,1.0391503554539914e-11,4.0299772131845644e-12,8.371969802698778e-13,9.7153487504595e-12,9.827784304834201e-13,3.390271523369354e-12,7.118699355975038e-12,1.0146758215409332e-11,9.081592337773105e-12
