,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2013-06-30,3.0628783753134044e-12,3.0628783753134044e-12,3.0628783753134044e-12,3.0628783753134044e-12,2.7354757406063574e-13,7.24676475810189e-12,3.0628783753134044e-12,9.737008215176309e-13,1.1080536229923716e-12,6.378395009506228e-15,9.43335418811271e-13,1.3542535115026698e-12,0.0,3.856310063864516e-13,6.516894869893282e-13,1.1664752180375657e-13,6.956328136803367e-14,5.578288664207368e-12,0.0,1.0466814070196467e-13,0.19999999998916265,0.19999999995352422,3.0628783753134044e-12,0.19999999998976153,0.19999999999047535,3.0628783753134044e-12,3.514276774036112e-11,5.256711552807466e-12,0.0,0.0,3.0628783753134044e-12,5.612262306236234e-13,4.552864071856539e-13,0.19999999998829696,2.0345696428578335e-12,2.0132734844941197e-12
2013-07-31,1.892036208628488e-12,1.892036208628488e-12,1.892036208628488e-12,1.892036208628488e-12,2.6042586784611786e-12,8.469078063337541e-12,1.892036208628488e-12,3.6253611140744043e-12,0.1999999999937492,1.0723606264238362e-12,0.19999999987415112,2.7138744459964448e-12,1.4872357986070879e-12,4.643973291785552e-12,2.0785152191233737e-12,1.909927669467544e-12,1.3329798368710519e-12,3.641951803631709e-12,3.7150114278166714e-13,9.548465438174558e-13,1.722343512374929e-10,2.6590878254891145e-11,1.892036208628488e-12,1.3937654545062094e-10,0.1999999996685425,1.892036208628488e-12,7.77201899883333e-12,2.6852516613320802e-11,0.19999999999659215,2.4206884601241025e-13,1.892036208628488e-12,2.7886949590342093e-12,4.439411864155078e-12,1.3951544319702089e-11,0.19999999997644147,4.623331295226614e-11
2013-08-31,4.218496932724631e-12,4.218496932724631e-12,4.218496932724631e-12,4.218496932724631e-12,6.993803553586113e-12,8.04990636610791e-12,4.218496932724631e-12,7.097801512067588e-12,2.644122269554002e-12,2.32373125530515e-12,0.19999999999406326,3.921370652740429e-12,3.033787559311448e-12,3.273909974692898e-12,4.707571202540143e-12,4.003967567316381e-12,2.714312040727772e-12,9.958654353424748e-12,4.200558760952099e-13,1.5900092721733629e-12,0.19999999992360315,4.388141986695399e-11,4.218496932724631e-12,0.1999999999502589,0.1999999999917734,4.218496932724631e-12,1.1545158464131943e-11,6.589527274142221e-12,3.9610829399207644e-13,0.0,4.218496932724631e-12,3.8055117117335535e-12,9.490856200437232e-12,1.0689270966678502e-11,5.8176191516413246e-12,0.1999999999536051
2013-09-30,2.69312613067854e-13,2.69312613067854e-13,2.69312613067854e-13,2.69312613067854e-13,3.5381560719153716e-13,4.961037061237032e-13,2.69312613067854e-13,9.41755435218192e-13,5.221924130778905e-12,8.722593011449482e-13,4.37236828055335e-13,8.96791921104905e-13,0.19999999999819218,2.2181735117373335e-12,5.239333380041398e-13,1.275680808184068e-12,4.408331254459185e-12,4.030826729875315e-13,0.19999999998488757,5.204598026746241e-12,0.1999999999874514,1.221173881811064e-12,2.69312613067854e-13,1.1043510194250654e-12,0.1999999999972304,2.69312613067854e-13,1.0587662493008759e-12,7.674025542746199e-13,0.19999999999944276,0.0,2.69312613067854e-13,4.838316666255182e-13,8.880169175914718e-13,6.889789946548311e-13,5.032351973054487e-13,6.716285780069751e-13
2013-10-31,5.596947266683195e-12,5.596947266683195e-12,5.596947266683195e-12,5.596947266683195e-12,8.233621067836901e-12,9.308823768229011e-12,5.596947266683195e-12,1.1520970349024305e-11,3.796830609554793e-12,4.157809008098316e-12,0.19999999997892443,9.547866868463893e-12,7.5905265568543e-12,4.6245881366973524e-12,6.072479193961391e-12,5.87632938466964e-12,5.333132168232659e-12,9.561916019262627e-12,2.238923151895952e-12,4.745322618982169e-12,0.1999999999745356,1.1445281297772643e-10,5.596947266683195e-12,0.19999999985712344,0.19999999997131096,5.596947266683195e-12,2.3001071896793844e-11,7.808163642460473e-12,1.3078717839268751e-11,1.0038380505159665e-13,5.596947266683195e-12,9.32134641074336e-12,1.5538881725903186e-11,1.8922545117031713e-11,5.962900267299614e-12,0.19999999987253406
2013-11-30,3.652684343639707e-12,3.652684343639707e-12,3.652684343639707e-12,3.652684343639707e-12,5.430969193587323e-12,7.532847310378602e-12,3.652684343639707e-12,7.746505854700155e-12,4.84124157819888e-12,2.5044259967049787e-12,0.19999999995553078,6.7007274479976995e-12,3.8421304496918915e-12,2.9378644175723635e-12,3.332915305488796e-11,3.8575893061667126e-12,3.582719336188482e-12,5.4666491812364695e-12,1.5514990860599572e-12,3.649799139007311e-12,0.19999999984862968,2.460924190655414e-11,3.652684343639707e-12,0.19999999901393378,0.1999999999257556,3.652684343639707e-12,1.4285616640339036e-11,9.612938827420924e-10,0.1999999998827242,1.2278637928924524e-11,3.652684343639707e-12,5.40242190276227e-12,1.0048738905182157e-11,7.233503257911242e-12,3.9215524982845686e-12,2.1215660940279864e-10
2013-12-31,2.6768775716931973e-12,2.6768775716931973e-12,2.6768775716931973e-12,2.6768775716931973e-12,3.1421802621458823e-12,5.148756942487923e-12,2.6768775716931973e-12,5.696310865450969e-12,0.19999999992863615,0.19999999999417184,5.628640856746631e-12,7.352684909737197e-12,0.19999999999240847,2.2418409213132724e-11,4.780048690931085e-12,2.937560702290307e-11,0.1999999999652982,3.0243067109473725e-12,1.201934707023886e-11,1.9219155144340134e-11,5.341860948469362e-12,4.604655836811344e-12,2.6768775716931973e-12,5.3292099016776746e-12,5.54174269779608e-12,2.6768775716931973e-12,8.01476684170039e-12,1.0760861705984038e-11,0.19999999990742323,1.5783217924253626e-12,2.6768775716931973e-12,3.3445872380109254e-12,1.2854761644151707e-11,3.418691122992061e-12,5.9665597155116634e-12,6.0856804807299514e-12
2014-01-31,1.0723166921920238e-12,1.0723166921920238e-12,1.0723166921920238e-12,1.0723166921920238e-12,1.2445191854305072e-12,1.896374066337015e-12,1.0723166921920238e-12,2.499743897597942e-12,5.617521105050935e-12,0.19999999998953322,2.1414466065850928e-12,4.6911829738628956e-12,0.19999999998964724,2.613101316886647e-12,1.8468930029558016e-12,3.510456307079344e-12,3.1163190995742355e-12,1.2774047611728882e-12,0.19999999995083467,1.1647242858410526e-11,0.1999999999729601,3.955571777014282e-12,1.0723166921920238e-12,9.625952652689537e-12,1.1104625899515937e-11,1.0723166921920238e-12,4.436917287487305e-12,3.3455239352913958e-12,0.19999999999846818,1.6960534428917306e-12,1.0723166921920238e-12,1.3504677230179673e-12,2.0165449987027408e-12,3.4955195094983144e-12,2.3472592031882786e-12,4.501407628325908e-12
2014-02-28,0.0,0.0,0.0,0.0,3.06094651996993e-15,2.957416705511836e-14,0.0,5.3919210590335894e-14,1.1046554675973768e-12,0.19999999999989093,4.341465099996046e-14,2.2066461988859498e-13,9.380851519848945e-13,5.918967986119266e-14,5.0649185441611654e-14,1.9188118189346333e-13,9.77337343164897e-14,4.526472315060925e-15,9.962325773508914e-15,1.1533311724312116e-13,3.541330988500891e-14,1.7320541267841896e-13,0.0,0.19999999999941975,0.1999999999967904,0.0,4.4784482990514604e-13,3.5062927955160724e-13,0.1999999999999113,0.19999999999908621,0.0,7.958642522449432e-15,1.642546900949495e-13,1.3692487569637228e-13,5.015214407636773e-14,6.12371889615737e-13
2014-03-31,9.21506590521626e-13,9.21506590521626e-13,9.21506590521626e-13,9.21506590521626e-13,1.3730333841575045e-12,4.814660594507269e-12,9.21506590521626e-13,2.227265473080085e-12,1.1150548300997525e-10,3.0337802080365853e-12,0.19999999982553618,2.4873223374989903e-12,1.1355312407953652e-12,4.08674494211453e-12,4.1265081259937485e-12,2.3122326791026588e-12,0.19999999999527454,1.3863342547148895e-12,2.7278871207950855e-12,4.760035311159075e-12,5.102815289740077e-12,5.221358272608088e-12,9.21506590521626e-13,1.678449060384229e-11,1.2691490529431318e-11,9.21506590521626e-13,0.19999999999175747,5.207760106086138e-12,0.19999999999904303,7.000378801737381e-13,9.21506590521626e-13,1.717289658871369e-12,3.1529182924596086e-12,2.058941595377066e-12,0.19999999997723722,5.165563723902951e-12
