,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2013-05-31,5.675901756687194e-11,2.394526281027829e-11,4.483742191285666e-11,1.7999759654711438e-11,0.1999999999791801,0.1999999999809221,1.7999759654711438e-11,1.765718775793004e-11,0.1999999998978649,1.7999759654711438e-11,0.19999999993491163,3.0837852016960306e-11,0.19999999997908535
2013-06-30,1.2533565835470742e-12,4.468949773447655e-12,0.19999999999774365,2.4677038732112145e-12,0.19999999999916906,0.19999999999919332,2.4677038732112145e-12,3.5031057611621593e-12,6.558017918174392e-14,2.4677038732112145e-12,0.19999999999911372,0.19999999998586218,2.2240907205725744e-12
2013-07-31,0.19999999992417425,2.254528560266529e-12,2.3767745814271505e-11,1.7370204117198437e-12,0.19999999999797338,5.2199998704201955e-11,1.7370204117198437e-12,2.0550468055803074e-12,0.19999999999368837,1.7370204117198437e-12,0.19999999999319618,8.015943335768443e-12,0.19999999999746357
2013-08-31,4.173324349750486e-12,0.19999999999677168,7.934213219983402e-12,5.580027343495135e-13,0.19999999999528853,0.19999999999372167,5.580027343495135e-13,0.1999999999951111,4.668065775309757e-12,5.580027343495135e-13,1.808680536620258e-12,3.1527005306020597e-12,0.1999999999956961
2013-09-30,3.8776346626132e-12,0.19999999999693782,9.30547982375296e-12,1.4038754596942137e-12,0.19999999997323434,0.1999999999860509,1.4038754596942137e-12,0.19999999998865137,6.001264470142656e-12,1.4038754596942137e-12,0.19999999998226095,1.0966419927370133e-11,3.850220963406709e-11
2013-10-31,1.7405620956556268e-12,0.19999999999656895,0.19999999999877302,5.468494405692257e-13,6.455328267863856e-12,5.2264698598522733e-11,5.468494405692257e-13,0.19999999999722273,2.0050384177515185e-12,5.468494405692257e-13,0.1999999999990353,0.19999999994167858,2.6151081887648887e-12
2013-11-30,0.1999999987415006,0.1999999999369545,1.527022439764737e-10,3.0019939188659807e-11,1.0986084150841829e-09,0.1999999996974464,3.0019939188659807e-11,0.19999999971421933,2.2252412144422716e-10,3.0019939188659807e-11,7.778573250473088e-11,0.19999999990748177,3.607169702606083e-10
2013-12-31,4.254915324067299e-11,0.19999999999453583,2.1275371474167418e-11,3.646835133322482e-12,0.1999999999605992,0.199999999987831,3.646835133322482e-12,0.19999999996479254,1.936403431908162e-11,3.646835133322482e-12,1.0460396076304312e-11,1.0191823430984708e-10,0.19999999988573366
2014-01-31,3.672317405266273e-11,0.19999999996916357,0.19999999998535753,2.021416386566105e-12,0.19999999999876175,8.968465997428576e-12,2.021416386566105e-12,0.19999999999697268,0.19999999994585427,2.021416386566105e-12,7.3123208934758e-12,3.3296316463751615e-11,1.1525564845059179e-11
2014-02-28,1.3935985622625022e-12,0.1999999999982767,0.1999999999995961,2.826133576223149e-13,0.1999999999990028,0.19999999999462417,2.826133576223149e-13,0.19999999999793103,2.625048976132213e-12,2.826133576223149e-13,1.7007168579844944e-12,1.997616758486876e-12,2.0042754787528225e-12
