,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2018-08-31,3.6651971442740643e-13,2.805380070837928e-13,3.6651971442740643e-13,3.6651971442740643e-13,4.0334240307153704e-13,7.279732964113797e-13,4.736544270294048e-13,6.537522205413838e-13,5.826479659696045e-13,3.8444393575402976e-13,6.402568951955325e-13,6.413776360164461e-13,4.73063848527707e-13,5.042051684118023e-13,4.909454432792119e-13,4.866965179647018e-13,4.596984979179572e-13,3.2454232428135744e-13,6.777120238882568e-13,7.229841869436728e-13,0.19999999999222268,8.396549697963901e-13,0.19999999999386528,0.19999999999301102,0.19999999999506884,2.5010563491925535e-12,8.665087720509207e-13,4.08325612712869e-11,5.701779188374147e-13,2.787106546660726e-13,1.1103964557988154e-12,1.9467372209135905e-13,5.450286640066695e-13,7.173938890141983e-13,7.215631212533511e-13,0.19999999996662707
2018-09-30,2.0816397438812698e-13,1.6083712858119648e-13,0.20000000000001059,2.0816397438812698e-13,2.4738860262264214e-13,8.197121884498701e-13,2.9195076314068124e-13,5.227242930652336e-13,3.900755548578475e-13,2.243659803829951e-13,4.785232914202523e-13,4.629439525528127e-13,2.878023563349992e-13,3.215110365680793e-13,3.1066623948457555e-13,2.9949175132783503e-13,2.781687474489651e-13,1.6919780708687125e-13,5.21970363205762e-13,6.821980065337492e-13,0.1999999999972171,8.204489097911714e-13,0.19999999999534201,0.1999999999922555,0.1999999999982532,7.889765214860141e-13,8.228439280196585e-13,7.570011919757978e-13,3.5094109438622174e-13,1.6009423066636273e-13,8.152075417339921e-13,1.0725000818460164e-13,3.574716336082699e-13,7.243669089158837e-13,8.120395958285994e-13,3.5190630062676916e-12
2018-10-31,1.0060552633360752e-12,7.515411113011632e-13,0.20000000000001728,1.0060552633360752e-12,8.723591059228997e-13,2.4067714424438088e-12,1.2217140187856798e-12,2.0900783551051606e-12,1.6310229387614409e-12,9.945356870374968e-13,2.0766904528709484e-12,1.927499414770712e-12,1.277724756112763e-12,1.3658833066176454e-12,1.3561770529594706e-12,1.2917453221831628e-12,1.2094142563002644e-12,8.887503365927959e-13,2.112034824376629e-12,2.4812775523646726e-12,0.1999999999702272,2.5647403775518757e-12,0.19999999996701665,0.19999999997526832,0.1999999999887165,2.549783983081642e-12,2.8865421646380793e-12,2.587594175089816e-12,1.3874247120643657e-12,5.28795522218421e-13,1.883837179282819e-12,4.976540118369291e-13,1.5280558096051165e-12,3.021542393140586e-12,2.6895365180681512e-12,4.866111171903248e-11
2018-11-30,3.9107099103177236e-13,6.781663136570657e-13,0.2000000000000676,0.19999999999381987,3.1185042371794833e-13,1.2308347533425056e-12,4.226114421782296e-13,6.53007865160701e-13,5.415811767321717e-13,3.909846145701995e-13,6.558545698646132e-13,6.319076602689579e-13,4.696892131776356e-13,4.790226911007807e-13,4.762096887073663e-13,4.631639288122462e-13,4.427481880533953e-13,3.596312381832845e-13,7.83797765670377e-13,7.091652268210298e-13,1.1839724527821573e-11,2.342302228979461e-12,0.1999999999746187,0.19999999999686788,0.19999999999818915,1.16192867427348e-12,1.1331119508103292e-12,1.5970771848185142e-12,5.650777243318267e-13,5.441598476280292e-13,1.498182195219371e-12,2.382235301581435e-13,5.20449410915629e-13,1.01838422268516e-12,1.203185543946144e-12,2.6836265884665173e-12
2018-12-31,2.8059879893854673e-13,2.880624705816744e-13,0.1999999999999912,2.670527638421976e-13,1.7161033960658639e-13,1.4808488555283253e-12,3.5868830437158566e-13,6.203543823947784e-13,4.481384040125179e-13,2.7153839795820786e-13,6.084022478002736e-13,5.613949419801969e-13,3.6548714554364595e-13,3.718145063184624e-13,3.69339089618572e-13,3.5153304692635367e-13,3.271659443250524e-13,2.4238438992713425e-13,7.056583516155776e-13,6.3682010646848e-13,1.1779409327451826e-10,8.495707456906851e-13,0.1999999999947378,0.19999999999696813,0.19999999999848894,3.239242554005834e-13,8.782447736339081e-13,1.2511032749745455e-12,4.2569038101742886e-13,2.658279263681173e-13,2.1626650729305138e-12,1.0241252964624107e-13,4.252200556626357e-13,8.399180015611296e-13,1.1807275977738695e-12,0.19999999987458783
2019-01-31,7.984793076058296e-13,5.8744385383114e-12,0.19999999999993856,0.19999999995151116,6.325456034955787e-13,2.6889126557242732e-12,0.19999999995849338,1.5283179109131896e-12,1.2017272928742177e-12,8.277678649732394e-13,1.5065906576948983e-12,1.4464150395587754e-12,1.036848166697083e-12,1.0455501786598225e-12,1.0549004520053971e-12,1.0042971808567132e-12,9.488541313609946e-13,7.311018866467824e-13,2.1281670718516485e-12,1.7170190505814893e-12,4.408554125603838e-12,3.6168744933506637e-12,8.146462825084057e-12,4.643783941943512e-11,0.19999999997398205,2.545412279311308e-12,2.5506142872837886e-12,3.113787233649959e-12,1.5548046770621807e-12,7.850840616302625e-13,4.849601937164273e-12,0.19999999999966236,1.1661745859013871e-12,2.5159269011791573e-12,2.579977891430932e-12,5.969509478515275e-12
2019-02-28,4.150354822540098e-12,5.713400964365552e-12,0.20000000000002993,1.9844109994654588e-11,4.598764455569075e-12,1.4015832373960917e-11,3.104454046855194e-11,7.962043072407013e-12,6.333266297124236e-12,4.42849059225387e-12,8.06513692834409e-12,7.81796679451654e-12,5.442963200711829e-12,5.628464989404695e-12,5.646072404967516e-12,5.350872865945925e-12,5.075636243890497e-12,3.779054930900921e-12,1.1185326421757038e-11,9.118962574724082e-12,2.012570397468759e-11,3.698478733799376e-11,0.1999999997034697,3.83743076711207e-11,0.19999999996452608,1.3963662272979562e-11,1.3583093853321292e-11,1.590861079968228e-11,8.893837047130316e-12,3.9707027694963995e-12,0.19999999996489062,0.19999999999895438,6.214179307310267e-12,1.2567959048904371e-11,1.3301573153025669e-11,1.9039544189597682e-11
2019-03-31,2.4047446783840213e-12,2.9963565893854617e-12,0.19999999999939624,1.4818897521331992e-12,2.153743358712508e-12,8.551983253624914e-12,7.536779767186635e-12,4.3526876898957695e-12,3.4188176359219494e-12,2.5743193692990857e-12,4.516898169371382e-12,4.299963731800492e-12,2.9841537022979607e-12,3.121131361781317e-12,0.19999999997118004,2.9802487177806395e-12,2.8571885776013573e-12,2.202647394906094e-12,6.449116922954827e-12,5.049937562489636e-12,1.166043889875116e-11,7.801371671569665e-12,1.9209411930434806e-11,3.347771902997424e-11,0.19999999982757585,9.190169725682317e-12,8.317075297751074e-12,1.0636201216013219e-11,4.3358013803332835e-12,2.208094401808075e-12,0.1999999999936824,0.19999999999776583,3.4257112028185293e-12,8.064544072729358e-12,8.056988680583954e-12,1.4083476513589282e-11
2019-04-30,6.209114509450668e-13,1.452666276928564e-12,0.2000000000000004,6.144296706228483e-13,5.560527459393964e-13,1.399100421576394e-12,9.52834337626171e-13,1.4364664167931423e-12,1.0831509514691718e-12,6.941656339647454e-13,1.4226194289979605e-12,1.4123325393950433e-12,8.770759675086171e-13,9.332484061387371e-13,1.0914869454544078e-12,8.776721731697377e-13,8.346590703147355e-13,5.447102596864138e-13,1.8529036365088284e-12,1.6665802952934584e-12,1.5027675094248284e-11,1.6125030516813096e-12,0.19999999998844156,0.1999999999771059,0.1999999999954076,1.1644037358755622e-12,1.3320360200527068e-12,4.252769125780665e-12,1.5177206183406796e-12,5.153339556421251e-13,3.4410603885192276e-12,2.974253874232762e-13,1.04454981158386e-12,1.7444440422152424e-12,1.5460610179527257e-12,0.19999999998522547
2019-05-31,6.721657680762239e-13,1.1209645950479033e-12,0.20000000000000617,4.111056487521847e-13,4.862543340546533e-13,1.0487847068313314e-11,7.382600436913061e-13,1.7396094872359361e-12,1.1927338516450786e-12,7.004037579537824e-13,2.0696503571710727e-12,1.7852328468900674e-12,9.299319542036717e-13,9.999154148664234e-13,9.559347720223914e-13,9.266188196948954e-13,8.753686334309529e-13,5.965127131980463e-13,5.556458867932592e-12,2.3084805744740624e-12,1.1205462606586782e-09,6.375324499444875e-12,1.0243400043644788e-12,0.199999999994763,0.1999999999968305,1.2913852692105393e-11,7.550872827835179e-12,0.19999999881032895,2.6662105875420143e-12,5.101101116540706e-13,1.9262831009044286e-13,2.576713668828235e-13,1.1592821210570888e-12,1.3171882928702113e-11,7.979505821498841e-12,0.19999999998916992
