,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2014-12-31,5.7806702829248014e-12,2.6211071800517832e-11,0.19999999989433484,1.228800841329486e-12,5.550906302199487e-12,0.1999999999976116,1.228800841329486e-12,0.19999999999196308,1.4681197275558733e-11,1.228800841329486e-12,7.539877499149809e-11,0.19999999998999035,0.19999999999479134
2015-01-31,1.4739258769884625e-10,1.7760899658022757e-08,0.19999999990240266,3.240847207747455e-11,1.8261724074873925e-10,0.19999998241302783,3.240847207747455e-11,0.19999999982239483,2.0094466534387178e-10,3.240847207747455e-11,0.19999999979460287,1.5033952319599035e-10,0.19999999952815273
2015-02-28,1.7686858480027578e-10,6.277084399558988e-09,0.19999999934508497,2.2731811583018855e-11,1.725980485263179e-10,2.3607452602363893e-09,2.2731811583018855e-11,0.19999999983576455,3.0405874908966576e-10,2.2731811583018855e-11,0.19999999943925012,0.19999999216066247,0.1999999998596874
2015-03-31,2.706790867355474e-10,0.19999999212061587,0.19999999960680168,3.8840551431084633e-11,3.052668003417879e-10,4.115504289815549e-09,3.8840551431084633e-11,0.19999999971346458,3.7172680873190004e-10,3.8840551431084633e-11,0.19999999954400952,5.032851110939078e-09,0.19999999880255864
2015-04-30,1.1613499512275881e-10,0.19999999854443393,0.19999999972563917,1.6568037001883815e-11,0.19999999977244398,4.1588667887604915e-09,1.6568037001883815e-11,2.1901076001842036e-10,1.7917119501110734e-10,1.6568037001883815e-11,0.19999999712185404,3.4419983559747736e-10,0.199999999768541
2015-05-31,1.6043210770725172e-10,0.19999999977305846,0.19999999981921454,3.178555833432476e-11,2.0034612050724025e-10,2.198849480600701e-08,3.178555833432476e-11,0.19999999952688519,2.417765832879203e-10,3.178555833432476e-11,0.19999997805870998,3.0263963482356783e-10,0.19999999983308606
2015-06-30,6.997686021353405e-11,0.19999999995375564,0.1999999999475942,8.810248012888236e-12,1.0564817816136811e-10,0.19999999966151571,8.810248012888236e-12,0.19999999997056847,1.0068817798847835e-10,8.810248012888236e-12,1.383322639283551e-10,5.594836043823044e-11,0.19999999996954151
2015-07-31,1.8312975531546683e-11,0.19999999998530166,0.19999999998306386,1.9276832266695804e-12,1.4735770376100697e-11,0.19999999996994902,1.9276832266695804e-12,0.19999999996482684,1.4724668727992353e-11,1.9276832266695804e-12,3.8068463726020394e-11,1.99495553073243e-11,0.1999999999852843
2015-08-31,1.1334530019459537e-10,0.19999999986382544,0.19999999965468018,1.7598309836747825e-11,1.5676284949025743e-10,0.19999999986379696,1.7598309836747825e-11,0.199999973264896,1.562571427088428e-10,1.7598309836747825e-11,2.693595466215519e-08,1.1454547708584125e-10,0.1999999998231411
2015-09-30,2.0369563143811859e-10,0.1999999994967442,3.215204262612784e-09,4.7096659832878124e-11,0.19999999988445755,0.19999999991853806,4.7096659832878124e-11,1.095769633115134e-09,2.8928325740608315e-10,4.7096659832878124e-11,0.19999999581331696,1.6077079967903916e-10,0.1999999997809296
