Date,Universe,Ticker,alpha,l1_ratio
2023-05-31,A,VTV,100.0,0.2
2023-05-31,A,VUG,0.007278953843983146,0.8
2023-06-30,A,DIA,100.0,0.2
2023-06-30,A,IJR,100.0,0.2
2023-06-30,A,MDY,100.0,0.2
2023-06-30,A,MTUM,100.0,0.2
2023-06-30,A,ONEQ,100.0,0.2
2023-06-30,A,QQQ,0.007278953843983146,0.8
2023-06-30,A,QUAL,100.0,0.2
2023-06-30,A,RSP,100.0,0.2
2023-06-30,A,SPY,100.0,0.2
2023-06-30,A,USMV,100.0,0.2
2023-06-30,A,VNQ,0.007278953843983146,0.8
2023-06-30,A,VTV,100.0,0.2
2023-06-30,A,VUG,0.007278953843983146,0.8
2023-07-31,A,DIA,100.0,0.2
2023-07-31,A,IJR,100.0,0.2
2023-07-31,A,MDY,100.0,0.2
2023-07-31,A,MTUM,0.007278953843983146,0.8
2023-07-31,A,ONEQ,0.007278953843983146,0.8
2023-07-31,A,QQQ,0.007278953843983146,0.8
2023-07-31,A,QUAL,100.0,0.2
2023-07-31,A,RSP,100.0,0.2
2023-07-31,A,SPY,100.0,0.2
2023-07-31,A,USMV,100.0,0.2
2023-07-31,A,VNQ,0.011721022975334805,0.5
2023-07-31,A,VTV,100.0,0.2
2023-07-31,A,VUG,0.007278953843983146,0.8
2023-08-31,A,DIA,100.0,0.2
2023-08-31,A,IJR,100.0,0.2
2023-08-31,A,MDY,100.0,0.2
2023-08-31,A,MTUM,100.0,0.2
2023-08-31,A,ONEQ,100.0,0.2
2023-08-31,A,QQQ,0.007278953843983146,0.8
2023-08-31,A,QUAL,100.0,0.2
2023-08-31,A,RSP,100.0,0.2
2023-08-31,A,SPY,100.0,0.2
2023-08-31,A,USMV,100.0,0.2
2023-08-31,A,VNQ,0.007278953843983146,0.8
2023-08-31,A,VTV,0.007278953843983146,0.8
2023-08-31,A,VUG,0.007278953843983146,0.8
2023-09-30,A,DIA,100.0,0.2
2023-09-30,A,IJR,100.0,0.2
2023-09-30,A,MDY,100.0,0.2
2023-09-30,A,MTUM,100.0,0.2
2023-09-30,A,ONEQ,0.03039195382313198,0.2
2023-09-30,A,QQQ,0.007278953843983146,0.8
2023-09-30,A,QUAL,100.0,0.2
2023-09-30,A,RSP,100.0,0.2
2023-09-30,A,SPY,100.0,0.2
2023-09-30,A,USMV,100.0,0.2
2023-09-30,A,VNQ,0.007278953843983146,0.8
2023-09-30,A,VTV,100.0,0.2
2023-09-30,A,VUG,0.007278953843983146,0.8
