Date,Universe,Strategy,Cost_bps,Ret_gross,Cost,Ret_net
2018-04-30,A,EqualWeight_1N,0,0.0328224779261289,0.0,0.0328224779261289
2018-05-31,A,EqualWeight_1N,0,0.0091175543037088,0.0,0.0091175543037088
2018-06-30,A,EqualWeight_1N,0,0.0293694116397083,0.0,0.0293694116397083
2018-07-31,A,EqualWeight_1N,0,0.0376173388343715,0.0,0.0376173388343715
2018-08-31,A,EqualWeight_1N,0,-0.0005555036246622,0.0,-0.0005555036246622
2018-09-30,A,EqualWeight_1N,0,-0.0734836325012952,0.0,-0.0734836325012952
2018-10-31,A,EqualWeight_1N,0,0.0196173816446023,0.0,0.0196173816446023
2018-11-30,A,EqualWeight_1N,0,-0.0895541946151735,0.0,-0.0895541946151735
2018-12-31,A,EqualWeight_1N,0,0.0871228585142166,0.0,0.0871228585142166
2019-01-31,A,EqualWeight_1N,0,0.034466953021134,0.0,0.034466953021134
2019-02-28,A,EqualWeight_1N,0,0.016036076797617,0.0,0.016036076797617
2019-03-31,A,EqualWeight_1N,0,0.0345360584110067,0.0,0.0345360584110067
2019-04-30,A,EqualWeight_1N,0,-0.0581007921346631,0.0,-0.0581007921346631
2019-05-31,A,EqualWeight_1N,0,0.0661552225933793,0.0,0.0661552225933793
2019-06-30,A,EqualWeight_1N,0,0.0152297158421493,0.0,0.0152297158421493
2019-07-31,A,EqualWeight_1N,0,-0.0149907634818736,0.0,-0.0149907634818736
2019-08-31,A,EqualWeight_1N,0,0.0174337761341116,0.0,0.0174337761341116
2019-09-30,A,EqualWeight_1N,0,0.0180463457710383,0.0,0.0180463457710383
2019-10-31,A,EqualWeight_1N,0,0.0315203730740159,0.0,0.0315203730740159
2019-11-30,A,EqualWeight_1N,0,0.0262277639272644,0.0,0.0262277639272644
2019-12-31,A,EqualWeight_1N,0,0.0020047603389507,0.0,0.0020047603389507
2020-01-31,A,EqualWeight_1N,0,-0.0807781465068954,0.0,-0.0807781465068954
2020-02-29,A,EqualWeight_1N,0,-0.141191505687494,0.0,-0.141191505687494
2020-03-31,A,EqualWeight_1N,0,0.1261364242495749,0.0,0.1261364242495749
2020-04-30,A,EqualWeight_1N,0,0.0513808532275818,0.0,0.0513808532275818
2020-05-31,A,EqualWeight_1N,0,0.0245046534567484,0.0,0.0245046534567484
2020-06-30,A,EqualWeight_1N,0,0.0522088456169447,0.0,0.0522088456169447
2020-07-31,A,EqualWeight_1N,0,0.0625543688457817,0.0,0.0625543688457817
2020-08-31,A,EqualWeight_1N,0,-0.0350623011562164,0.0,-0.0350623011562164
2020-09-30,A,EqualWeight_1N,0,-0.0199435223996012,0.0,-0.0199435223996012
