,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2019-08-31,9.062908776991388e-13,6.952733355249371e-13,0.19999999999646903,9.39759731380369e-13,2.0495516424115537e-12,3.978846154625616e-12,9.871440819157832e-13,8.697647819448306e-14,6.903136650639202e-13,1.576480272547034e-11,7.779780643705451e-13,2.3863428564447004e-12,1.2955234385770527e-13,1.0292370087783394e-12,9.213034718018105e-13,7.622045207879269e-13,6.068270784281991e-13,3.295829167465017e-13,4.791638100186336e-12,1.2774236649001307e-12,0.19999999995828038,3.185822672218679e-12,1.3116542307588326e-12,3.766755722043776e-12,3.0455444782907835e-12,1.2224082153790864e-12,3.9756003919944705e-12,3.6348494752930038e-12,0.19999999999109838,7.633489286806668e-12,6.089569895196897e-12,0.19999999994097808,5.833890753438222e-13,0.19999999998813356,4.6172551262839573e-11,5.307969753043687e-12
2019-09-30,0.0,0.0,0.19999999999741175,0.0,2.790734716915435e-13,2.7485659291131783e-13,0.0,0.0,0.0,8.08663775820525e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999940013,0.0,3.180469896815915e-12,1.4770437356390393e-13,0.0,2.2478741692018744e-13,7.086971046580018e-14,0.0,2.862464299879158e-13,2.216138761511989e-13,7.536188700680856e-13,1.6744522171710854e-13,8.409965271926585e-13,0.19999999999962711,0.0,0.19999999999993512,0.19999999999659238,5.051251089099304e-13
2019-10-31,1.0822171776594131e-12,8.814026202556068e-13,0.19999999999510673,1.2670750556856306e-12,5.556125470663575e-13,9.989538714106072e-12,1.3339791519021925e-12,0.0,6.500001153544806e-13,1.2121787192896052e-11,1.5320330665407127e-12,2.575197118231626e-12,0.0,2.9174265245035523e-12,1.4002120794125866e-12,9.090155131837316e-13,5.544992853276164e-13,0.0,7.724390870525431e-11,4.062781826294564e-12,0.19999999996038323,8.809185415140302e-12,2.124145080727482e-12,9.87739511537155e-12,5.102202120155112e-12,1.945298183334142e-12,9.956216370838772e-12,9.544886621674714e-12,3.474552019309252e-11,1.0448670738473119e-10,3.4322936238355246e-11,0.19999999999733756,8.870417364689155e-13,0.1999999997805427,0.19999999992035591,5.3957820315858555e-12
2019-11-30,0.0,0.0,0.19999999999913157,0.0,0.0,1.656220633576121e-13,0.0,0.0,0.0,1.2789929412538915e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733766500490026e-13,0.0,0.1999999999972805,1.5522492873186566e-13,0.0,1.8165274241016805e-13,5.798441638300818e-14,0.0,1.8001123365199998e-13,1.6600736735731438e-13,3.497289421809402e-13,0.1999999999932773,2.950251030515691e-15,0.199999999999652,0.0,0.19999999999734241,1.1286582573631764e-11,6.924011688387807e-14
2019-12-31,0.0,1.7901094028277523e-13,0.1999999999999498,0.0,0.0,7.06356955765671e-13,0.0,0.0,0.0,0.19999999999749593,0.0,3.5550086495302394e-14,0.0,9.88634456924104e-15,0.0,0.0,0.0,0.0,5.724803653249822e-14,9.506858416876188e-14,0.19999999999972304,2.1733891957038055e-13,1.3024839089045714e-14,2.164145397823812e-12,1.4689406947341172e-13,7.872591413786925e-15,1.0434338839006202e-12,1.3049054759514018e-12,0.19999999999680024,1.0498397131928232e-13,0.0,0.0,0.0,0.0,0.1999999999997838,1.616471517293105e-13
2020-01-31,1.32932313486291e-12,8.737998533320253e-13,0.1999999999950923,1.4942296195688411e-12,2.453438589483386e-13,1.4705367896276422e-11,1.6111282121815098e-12,1.3589296514938312e-13,1.0523062572058902e-12,0.19999999999909326,2.3926699204316165e-12,3.0253951480106614e-12,0.0,4.898756838665555e-12,1.854705312524763e-12,1.4844513323751344e-12,1.2212290561139919e-12,0.0,0.19999999990114056,3.724942242884024e-12,3.6936654076219554e-11,7.303584436432745e-12,2.424836792632023e-12,1.8665895782784204e-11,8.590003180407104e-12,2.2194496878803234e-12,1.1068563042332326e-11,1.9942769565243897e-11,0.19999999998517576,2.5378292001455655e-12,7.738098223237532e-12,2.564449278365853e-13,1.5458177585236455e-12,0.19999999987641073,7.632615921469134e-11,7.481698029683839e-12
2020-02-29,3.2676608971345457e-12,2.7076346964309395e-12,0.19999999999323995,3.5700069132927358e-12,3.5806162817538337e-13,2.1388399385184662e-11,3.7033163209140896e-12,5.475650384703824e-14,2.374962478633945e-12,0.1999999999951896,3.5260270690284546e-13,4.454416332453741e-12,1.7862039879811612e-13,3.871967346980028e-12,3.6765860661488766e-12,2.976255291888731e-12,2.174983938686558e-12,0.0,0.19999999998324267,7.558532723018828e-12,1.381209335482508e-09,6.8041028048361285e-12,5.412221852259233e-12,8.088941353091794e-11,1.3531954669606407e-11,4.920593299470124e-12,1.7893677883248458e-11,2.1326727813951794e-11,0.19999999999321263,4.863083251309426e-12,5.172043975538103e-13,3.2592969966800304e-13,3.1759545084080577e-12,5.502467966444182e-12,0.19999999841187205,1.4201814996246662e-11
2020-03-31,1.6894858573469606e-12,0.19999999998878148,0.1999999999942164,1.623024853260204e-12,0.0,7.005886809157687e-12,1.8214640605544374e-12,0.19999999998667378,7.313299094124696e-13,1.7044162705805428e-12,1.0447447697830413e-12,5.951510003774104e-12,0.0,0.19999999988053646,0.0,0.0,0.0,0.0,3.4027719256928967e-11,1.4180938633005275e-12,3.635440263126952e-12,1.3373428727164343e-12,2.8423631568106936e-12,7.28582391306498e-12,3.921758406026767e-12,2.5930485885669565e-12,3.5794341124589235e-12,9.366262072630262e-12,1.5978663144296846e-11,2.7356121412653408e-11,3.154027637069539e-13,0.19999999999924023,0.0,0.0,1.358254150197885e-11,1.7397857968877873e-12
2020-04-30,9.885921489874115e-13,1.2129588083469248e-10,0.1999999999954353,1.3986852133313893e-12,0.0,4.983475323281261e-12,1.0941079326216414e-12,0.1999999999887182,8.174263962614031e-12,2.2178342755160917e-12,2.1402242389535938e-12,5.149994888351082e-13,0.0,6.903389403159082e-13,7.323660177690998e-11,4.563292028171051e-13,5.717020995631648e-14,0.0,1.614829149331762e-11,1.642773312907164e-12,2.7144078731449327e-12,1.472193748264666e-12,1.6390275106314066e-12,4.9914599271636595e-12,3.534130814022145e-12,1.5173285401007527e-12,3.817982988543433e-12,4.510045795156431e-12,0.19999999998009416,0.19999999976971888,1.957743915650685e-12,0.0,5.825034142169743e-13,0.19999999999282736,7.71138021525069e-12,3.718310832328143e-12
2020-05-31,1.814067831817568e-13,1.402354272082072e-12,0.19999999999873858,2.063313145079788e-12,0.0,1.1397734296709056e-12,2.1743672647650246e-13,5.0726354322071917e-14,2.6451619524087e-13,0.19999999999918489,1.093163127174286e-12,7.702826740954591e-13,0.0,5.554406212941603e-13,0.1999999999840087,2.815452965046578e-13,2.336718279667751e-13,0.0,0.19999999999700724,9.4590074626035e-13,1.5043439458676778e-12,6.270142863781609e-13,3.2686135173981307e-13,2.3845729255676094e-12,1.4699525310653805e-12,3.010206840155218e-13,1.1451844068725636e-12,1.5265380134789296e-12,0.1999999999992143,2.3989709298064257e-13,7.261724620112723e-14,0.0,2.4101430780941293e-13,0.0,1.702803018796728e-12,1.1050067098816214e-12
