,BITW,CPER,CRYPTO_EQ,DBC,GLD,ICLN,TAN,UNG,USO
2019-12-31,0.0,0.19999999999828144,0.20000000000023582,0.19999999999461793,0.19999999990962627,4.497737137558671e-12,0.0,1.0157516837914719e-10,0.19999999999116572
2020-01-31,0.0,0.19999999997319515,0.1999999999997069,0.19999999999540222,0.19999999999030174,3.6023047909151885e-12,1.2547737228632178e-12,4.191686249591771e-11,0.19999999999462004
2020-02-29,0.0,0.1999999998922215,0.2000000000010444,0.1999999999184693,0.19999999992121648,5.6232950362182646e-11,0.2000000000010444,4.053709119292969e-11,1.692338728129675e-10
2020-03-31,0.0,1.0156988042152453e-10,0.19999999999758786,0.19999999997258197,0.19999999998003748,0.19999999994140819,1.29564639050577e-11,0.1999999999349762,5.888203921926396e-11
2020-04-30,0.0,0.19999999994881712,0.19999999999993637,1.1606598222232148e-11,0.19999999999757126,0.1999999999989856,0.20000000000000093,4.221866608091115e-11,8.634099335269671e-13
2020-05-31,0.0,0.19999999999134951,0.19999999999893803,1.1685334389363794e-10,0.19999999998998763,0.19999999982620756,0.19999999999632787,8.03360008729064e-11,0.0
2020-06-30,0.0,0.19999999996846224,0.19999999999003432,1.372733769408772e-10,0.19999999988210077,0.19999999988336603,0.1999999999854676,1.355361722698019e-10,1.7759506434216886e-11
2020-07-31,0.0,0.19999999999614168,0.19999999999862178,0.1999999999982327,2.5094101254468932e-11,0.19999999998140308,0.1999999999964262,1.9548753113213504e-12,2.125570520506098e-12
2020-08-31,0.0,0.1999999999993483,0.19999999999982027,3.142837554982839e-12,3.338580064771483e-12,0.19999999999536783,0.19999999999934934,5.882873401029603e-13,0.1999999999990445
2020-09-30,0.0,0.19999999999827275,0.19999999999909446,3.876883576915051e-11,0.1999999999525848,0.1999999999961882,0.1999999999983376,1.0061877160736922e-11,6.691513235677386e-12
2020-10-31,0.0,0.1999999999716747,0.19999999998202062,6.446481487372279e-11,6.868336974173505e-11,0.19999999992536066,0.19999999997314413,4.36335038432577e-11,0.1999999999710182
2020-11-30,0.0,0.19999999996969423,0.19999999999560905,0.19999999998892584,6.644515054635548e-12,5.4182025473056566e-11,0.19999999998663645,4.607958227556287e-12,0.19999999999370002
2020-12-31,0.0,0.1999999999988391,0.2000000000000288,0.19999999999980114,2.2022793449610696e-12,0.19999999999783474,0.19999999999941223,5.800331875246006e-13,1.3018365394239798e-12
2021-01-31,0.0,0.19999999996987794,0.19999999999806795,0.19999999994044593,1.030808349791696e-10,0.1999999999400414,0.1999999999809805,3.1987191211408305e-11,3.5518241279042804e-11
2021-02-28,0.0,6.624706266768008e-11,0.19999999999880272,0.19999999999281792,2.6524860902811003e-12,0.1999999999898996,0.1999999999483761,2.0591928755661606e-12,0.19999999999914497
2021-03-31,0.0,0.19999999998781662,0.2000000000000282,0.1999999999815483,4.619122064306282e-12,4.804277742617723e-11,0.19999999997835666,2.743601249845963e-12,0.19999999999684473
2021-04-30,0.0,0.19999999999526083,0.199999999998967,0.19999999998524212,0.19999999988033743,1.2751501448281076e-10,6.4622416114757225e-12,5.3668158382657807e-11,0.1999999999525473
2021-05-31,0.0,0.20000000000001342,0.2000000000000196,0.19999999999990384,0.1999999999946866,2.391479252699235e-12,2.0613117749018106e-13,2.8429124351933833e-12,0.199999999999936
2021-06-30,0.0,0.19999999999587117,0.19999999998774645,0.1999999999966563,6.26358292791819e-11,7.033794834112245e-11,0.1999999999962729,2.4878174242559643e-11,0.19999999986560124
2021-07-31,0.0,0.19999999999669618,0.19999999997523038,0.19999999999688348,2.062005706036147e-12,3.095366743245723e-11,0.19999999999505733,3.7443174934223746e-12,0.19999999999937268
2021-08-31,0.0,0.19999999999036017,0.19999999999607193,6.9100006870176085e-12,6.486277436575649e-11,0.19999999998302112,0.1999999999886312,4.16335584877157e-11,0.19999999992850945
2021-09-30,0.0,0.1999999999740913,0.19999999999109,2.977989129082161e-12,1.2976565908892834e-10,0.19999999996790346,0.19999999996585677,0.1999999999683149,0.0
2021-10-31,0.0,0.19999999999758256,0.19999999999906734,0.19999999994157613,9.509059025904424e-12,0.19999999999663753,0.19999999999746287,1.0703982042791306e-11,4.746049731307597e-11
2021-11-30,0.0,0.19999999999864748,0.20000000000052456,2.075917276143379e-09,0.19999999786668937,0.19999999999323342,0.19999999999863832,5.258959472694143e-11,1.3759948487214564e-11
2021-12-31,0.0,0.19999999998672693,0.19999999996811194,0.19999999993109147,3.9956978742837934e-11,0.1999999999578747,0.1999999999839005,8.743592527292514e-12,1.2359388862268102e-10
2022-01-31,0.0,0.19999999998717996,0.0,0.19999999995516599,5.882155251722694e-11,7.472459223968559e-11,0.19999999998617124,0.19999999999660353,0.19999999994133316
2022-02-28,0.0,0.1999999999931154,0.0,9.901875823131994e-11,0.199999999915427,0.19999999999189816,0.19999999999259763,0.19999999999751994,1.0423134017743652e-11
2022-03-31,0.0,0.1999999999980267,0.0,0.19999999998829573,1.9016945367535353e-12,0.19999999999787083,0.1999999999977635,0.19999999999899598,1.7145402519932935e-11
2022-04-30,0.0,0.19999999995955364,0.0,3.949795594851953e-10,2.3399315081273174e-11,0.19999999995329792,0.1999999999495877,0.1999999999997482,0.19999999971943352
2022-05-31,0.0,1.3445676190249477e-10,0.0,0.1999999999083045,5.6590955972018636e-11,0.1999999999654136,0.19999999996443227,0.19999999999771823,0.19999999997308376
2022-06-30,0.0,0.1999999999806506,0.0,0.19999999996242585,5.15921022260948e-11,0.1999999999837223,0.19999999998223017,0.19999999999248713,4.689191746391319e-11
2022-07-31,0.0,0.1999999999193511,0.0,7.093532156373184e-11,1.940069394514841e-11,0.199999999999943,0.1999999999920482,0.199999999999943,0.19999999999837872
2022-08-31,0.0,0.1999999999486092,0.20000000000034956,3.2024774491861554e-11,2.966988551870386e-11,0.1999999999685761,0.19999999996097514,0.19999999999302248,6.677292611196819e-11
