Date,Universe,Strategy,Ret
2010-03-31,A,EqualWeight_LongShort,0.004253669050711363
2010-04-30,A,EqualWeight_LongShort,0.0033552634983399767
2010-05-31,A,EqualWeight_LongShort,0.0023457017502073645
2010-06-30,A,EqualWeight_LongShort,0.002391175088018428
2010-07-31,A,EqualWeight_LongShort,0.007337851501550097
2010-08-31,A,EqualWeight_LongShort,0.00037656959598753037
2010-09-30,A,EqualWeight_LongShort,0.006956729465446652
2010-10-31,A,EqualWeight_LongShort,-0.0003449613346793507
2010-11-30,A,EqualWeight_LongShort,-0.0015288308499830086
2010-12-31,A,EqualWeight_LongShort,-0.0020807941239782135
2011-01-31,A,EqualWeight_LongShort,0.0035845676007979495
2011-02-28,A,EqualWeight_LongShort,-0.005539581274258409
2011-03-31,A,EqualWeight_LongShort,-0.0028510561369604398
2011-04-30,A,EqualWeight_LongShort,0.0022506583729810735
2011-05-31,A,EqualWeight_LongShort,0.0005917966207870779
2011-06-30,A,EqualWeight_LongShort,-0.0005360625507126243
2011-07-31,A,EqualWeight_LongShort,0.003415244958852072
2011-08-31,A,EqualWeight_LongShort,0.0028646462137384768
2011-09-30,A,EqualWeight_LongShort,-3.41718249542277e-05
2011-10-31,A,EqualWeight_LongShort,-0.003340412606783204
2011-11-30,A,EqualWeight_LongShort,-0.01300445900910876
2011-12-31,A,EqualWeight_LongShort,0.010193800580028282
2012-01-31,A,EqualWeight_LongShort,0.010595242028090989
2012-02-29,A,EqualWeight_LongShort,0.000765594600698982
2012-03-31,A,EqualWeight_LongShort,-0.0037641619557767015
2012-04-30,A,EqualWeight_LongShort,-0.00415254162751214
2012-05-31,A,EqualWeight_LongShort,-0.0030826701502671533
2012-06-30,A,EqualWeight_LongShort,0.00400918667553002
2012-07-31,A,EqualWeight_LongShort,0.00200942570496745
2012-08-31,A,EqualWeight_LongShort,0.00046354522608867935
2012-09-30,A,EqualWeight_LongShort,-0.005496864129010081
2012-10-31,A,EqualWeight_LongShort,0.002569915750704433
2012-11-30,A,EqualWeight_LongShort,0.0037679540535356616
2012-12-31,A,EqualWeight_LongShort,0.006404736646185705
2013-01-31,A,EqualWeight_LongShort,0.001310896859867805
2013-02-28,A,EqualWeight_LongShort,0.002055291109280887
2013-03-31,A,EqualWeight_LongShort,0.005501905651489602
2013-04-30,A,EqualWeight_LongShort,-0.011767824507659586
2013-05-31,A,EqualWeight_LongShort,-0.002284126007882448
2013-06-30,A,EqualWeight_LongShort,-0.007394226893641621
2013-07-31,A,EqualWeight_LongShort,-0.004901610671762769
2013-08-31,A,EqualWeight_LongShort,-0.0020343962406513816
2013-09-30,A,EqualWeight_LongShort,-0.0004184637533784395
2013-10-31,A,EqualWeight_LongShort,-0.004391407601414176
2013-11-30,A,EqualWeight_LongShort,0.002070932337842081
2013-12-31,A,EqualWeight_LongShort,-0.0014384838585684407
2014-01-31,A,EqualWeight_LongShort,0.0006613912775877764
2014-02-28,A,EqualWeight_LongShort,-0.006482778491033972
2014-03-31,A,EqualWeight_LongShort,-0.012018669191733614
2014-04-30,A,EqualWeight_LongShort,0.005512141540020374
2014-05-31,A,EqualWeight_LongShort,-3.553692783015913e-05
2014-06-30,A,EqualWeight_LongShort,-0.001575491955922016
2014-07-31,A,EqualWeight_LongShort,0.0007473496736871699
2014-08-31,A,EqualWeight_LongShort,-0.011027649541202554
2014-09-30,A,EqualWeight_LongShort,-0.002411026605379665
2014-10-31,A,EqualWeight_LongShort,-0.00025993357668488903
2014-11-30,A,EqualWeight_LongShort,0.000513260286580253
2014-12-31,A,EqualWeight_LongShort,0.009543072627861781
2015-01-31,A,EqualWeight_LongShort,-0.004616094622155741
2015-02-28,A,EqualWeight_LongShort,0.012753993219338799
2015-03-31,A,EqualWeight_LongShort,-0.009376117964786782
2015-04-30,A,EqualWeight_LongShort,-0.0017733239691674835
2015-05-31,A,EqualWeight_LongShort,0.0007318501757928597
2015-06-30,A,EqualWeight_LongShort,-0.0005345202984626714
2015-07-31,A,EqualWeight_LongShort,-0.0008761381613626397
2015-08-31,A,EqualWeight_LongShort,-0.009233701588143794
2015-09-30,A,EqualWeight_LongShort,-0.0039304898656512335
2015-10-31,A,EqualWeight_LongShort,-0.004910076676026165
2015-11-30,A,EqualWeight_LongShort,0.01115352994557595
2015-12-31,A,EqualWeight_LongShort,0.0008858847857556099
2016-01-31,A,EqualWeight_LongShort,-0.005080087215916741
2016-02-29,A,EqualWeight_LongShort,-0.0018334627048157233
2016-03-31,A,EqualWeight_LongShort,-0.010162401724835292
2016-04-30,A,EqualWeight_LongShort,-0.003987309932611071
2016-05-31,A,EqualWeight_LongShort,0.008594152303041858
2016-06-30,A,EqualWeight_LongShort,-0.006924744623175629
2016-07-31,A,EqualWeight_LongShort,0.004360772116314826
2016-08-31,A,EqualWeight_LongShort,0.0016127739136657109
2016-09-30,A,EqualWeight_LongShort,-0.006236286701239902
2016-10-31,A,EqualWeight_LongShort,-0.01624551641789703
2016-11-30,A,EqualWeight_LongShort,-0.006013797547793698
2016-12-31,A,EqualWeight_LongShort,-0.004738888585527245
2017-01-31,A,EqualWeight_LongShort,0.0065810382028725686
2017-02-28,A,EqualWeight_LongShort,0.00964588052154316
2017-03-31,A,EqualWeight_LongShort,0.006850668273798866
2017-04-30,A,EqualWeight_LongShort,0.014742203273053815
2017-05-31,A,EqualWeight_LongShort,-0.009383448045072896
2017-06-30,A,EqualWeight_LongShort,0.0017805968599041155
2017-07-31,A,EqualWeight_LongShort,0.01072955948816941
2017-08-31,A,EqualWeight_LongShort,-0.007033069156136171
2017-09-30,A,EqualWeight_LongShort,0.0050178186882169715
2017-10-31,A,EqualWeight_LongShort,-0.0033614185471322884
2017-11-30,A,EqualWeight_LongShort,-0.00012768238773763795
2017-12-31,A,EqualWeight_LongShort,0.01683179264359106
