,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2010-03-31,1.334085674059119e-13,1.334085674059119e-13,0.19999999999701312,0.199999999997538,0.19999999999659265,1.9018863359147617e-10,9.890307292216539e-13,6.705499269689946e-14,0.19999999999023121,3.127745510197405e-12,1.0373534900852376e-11,5.83785015223136e-12,1.334085674058949e-13,0.19999999980764085
2010-04-30,8.462355741890834e-12,8.462355741890834e-12,0.19999999999037396,1.4090110659628802e-11,1.4349130896560454e-11,2.1089522437474362e-11,0.19999999997729628,5.153501138978951e-11,0.19999999984897487,0.1999999998075591,3.2825476212393955e-10,5.025541757424199e-11,8.462355741890834e-12,0.19999999987083472
2010-05-31,5.603025995043602e-11,5.603025995043602e-11,0.19999999994633405,0.19999999998466342,1.459752861815426e-11,0.1999999999827486,0.19999999989992262,6.324073658074572e-12,1.5516127111351382e-11,4.537087798846878e-12,3.85366714246199e-11,0.19999999991132608,5.603025995044175e-11,2.7403220309786068e-11
2010-06-30,0.19999999995671067,0.19999999995671067,0.19999999998406648,2.4375661878655523e-11,1.3167330144167105e-11,0.19999999992125184,6.328886745564773e-11,1.2605616586473006e-11,2.2652003983070367e-11,9.055000099958974e-12,2.7312797176110374e-11,2.0725778157377304e-11,0.19999999995671067,3.1366525524390944e-11
2010-07-31,0.19999999997208728,0.19999999997208728,6.5775611520564776e-12,1.6318201626370816e-11,1.1517199863989834e-11,4.554613225299565e-11,0.19999999996656437,1.6423395086910114e-11,1.142113578964974e-11,0.1999999998880879,1.2368742966432547e-11,1.5974574591147347e-11,0.19999999997208728,9.293894708269654e-11
2010-08-31,0.1999999999955567,0.1999999999955567,3.644379629608085e-12,1.525226310817309e-12,4.005997963225427e-12,0.199999999926359,1.986148298714459e-12,0.1999999999860303,1.5485242528434236e-11,3.7717742184734836e-11,2.9840514256588894e-12,3.926024213545104e-12,0.1999999999955567,2.966577928870233e-11
2010-09-30,6.043576385290672e-13,6.043576385290672e-13,0.19999999999795653,0.19999999998382922,0.19999999999753765,4.042530812510557e-12,2.6782158392344337e-12,9.226599748029804e-13,0.19999999997699347,2.0114498309099278e-12,0.1999999999952602,8.754149434675497e-12,6.043576385291005e-13,2.820082812122924e-11
2010-10-31,0.19999999999394663,0.19999999999394663,6.6047768880476964e-12,1.9547292546111317e-12,1.0739050262242059e-12,0.20000000000005758,3.042033811382663e-12,1.0959042043597184e-12,8.398686659678448e-13,0.1999999999967924,1.1121025971492547e-12,1.6674233877515888e-12,0.19999999999394663,3.919309820191461e-12
2010-11-30,1.531609313625701e-12,1.531609313625701e-12,0.19999999999511017,0.19999999999482845,3.00784263693956e-12,0.19999990746475313,0.19999999999736212,9.65359121586187e-13,4.037645595137577e-12,0.1999999999962663,5.2466176576397105e-12,3.2640260183152957e-12,1.5316093136258239e-12,9.253056329704313e-08
2010-12-31,2.1382553760085452e-13,2.1382553760085452e-13,0.1999999999990908,0.19999999998833726,0.19999999999535895,7.222298858555525e-13,0.19999999996980058,1.2653509689068317e-12,2.7269575871409694e-12,6.501279226167278e-11,4.097867795323323e-12,0.1999999999658895,2.138255376008374e-13,7.0564541761801035e-12
