Date,Universe,Strategy,Ticker,Weight
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EUMV,-2.1205526831246958e-23
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWD,0.19999999994221165
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWG,0.19999999991361658
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWI,3.5064583355819865e-12
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWL,0.19999999999882076
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWN,0.1999999999727028
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWP,1.2607090331764541e-11
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWQ,1.4105335361054872e-11
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWU,0.19999999958549528
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EZU,1.3717713987663064e-11
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,FEZ,1.2728312310767214e-11
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,IEUS,3.60809995394964e-11
2018-04-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,VGK,4.944070931142462e-10
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,DAX,-4.696334242190776e-25
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EUMV,-4.696334242190776e-25
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWD,0.19999999996406032
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWG,0.1999999999465612
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWI,1.2376437713885076e-12
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWL,0.19999999999916332
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWN,0.19999999998434853
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWP,6.2094108132175315e-12
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWQ,6.742788357261194e-12
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWU,0.19999999982789393
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EZU,6.64244529940039e-12
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,FEZ,6.505698480000874e-12
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,IEUS,1.5973058214730906e-11
2018-05-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,VGK,2.346615079624635e-10
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,DAX,6.083806542996188e-25
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EUMV,6.083806542996188e-25
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWD,0.19999999996344653
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWG,0.19999999995431994
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWI,7.655341928437596e-13
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWL,0.19999999999894663
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWN,0.1999999999893105
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWP,4.325481784771163e-12
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWQ,4.63750277485073e-12
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWU,0.19999999990334524
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EZU,4.57679069291367e-12
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,FEZ,4.493653761461543e-12
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,IEUS,9.631489127662456e-12
2018-06-30,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,VGK,1.6220075233230853e-10
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,DAX,1.343754106651053e-25
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EUMV,1.9536806828674786e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWD,0.19999999999032048
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWG,0.19999999999084064
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWI,1.073729456306864e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWL,0.20000000000176346
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWN,0.19999999999443524
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWP,6.4764913287406565e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWQ,7.78126473286591e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EWU,0.1999999997890992
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,EZU,7.809974761442635e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,FEZ,7.0591505018139765e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,IEUS,7.81353963439357e-12
2018-07-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,VGK,1.9357321973081196e-10
2018-08-31,B,ML_RF_longshort_costaware_5bps_grosslabels_affine,DAX,-3.8091286825506313e-25
